-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Morning
Iteration: 2
Look-ahead time: 300.0 sec
Execution time: -21076 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 3
Time-interval 3: 3
Time-interval 4: 10
Time-interval 5: 9
Time-interval 6: 9
Time-interval 7: 10
Time-interval 8: 6
Time-interval 9: 4
Time-interval 10: 5
Time-interval 11: 5
Time-interval 12: 8
Time-interval 13: 4
Time-interval 14: 11
Time-interval 15: 8
Time-interval 16: 4
Time-interval 17: 10
Time-interval 18: 7
Time-interval 19: 3
Time-interval 20: 8
Time-interval 21: 4
Time-interval 22: 4
Time-interval 23: 7
Time-interval 24: 9
Time-interval 25: 8
Time-interval 26: 8
Time-interval 27: 13
Time-interval 28: 6
Time-interval 29: 6
Time-interval 30: 4
Time-interval 31: 5
Time-interval 32: 5
Time-interval 33: 11
Time-interval 34: 6
Time-interval 35: 5
Time-interval 36: 5
Time-interval 37: 8
Time-interval 38: 12
Time-interval 39: 3
Time-interval 40: 7
Time-interval 41: 6
Time-interval 42: 7
Time-interval 43: 10
Time-interval 44: 13
Time-interval 45: 7
Time-interval 46: 10
Time-interval 47: 10
Time-interval 48: 6
Time-interval 49: 3
Time-interval 50: 7
Time-interval 51: 5
Time-interval 52: 8
Time-interval 53: 9
Time-interval 54: 11
Time-interval 55: 4
Time-interval 56: 5
Time-interval 57: 5
Time-interval 58: 7
Time-interval 59: 5
Time-interval 60: 15
Time-interval 61: 7
Time-interval 62: 9
Time-interval 63: 12
Time-interval 64: 6
Time-interval 65: 14
Time-interval 66: 6
Time-interval 67: 12
Time-interval 68: 7
Time-interval 69: 8
Time-interval 70: 3
Time-interval 71: 3
Time-interval 72: 6
Time-interval 73: 5
Time-interval 74: 9
Time-interval 75: 8
Time-interval 76: 16
Time-interval 77: 6
Time-interval 78: 10
Time-interval 79: 9
Time-interval 80: 3
Time-interval 81: 9
Time-interval 82: 8
Time-interval 83: 8
Time-interval 84: 13
Time-interval 85: 7
Time-interval 86: 11
Time-interval 87: 10
Time-interval 88: 12
Time-interval 89: 8
Time-interval 90: 6
Time-interval 91: 13
Time-interval 92: 8
Time-interval 93: 8
Time-interval 94: 9
Time-interval 95: 8
Time-interval 96: 7
Time-interval 97: 7
Time-interval 98: 6
Time-interval 99: 8
Time-interval 100: 8
Time-interval 101: 7
Time-interval 102: 11
Time-interval 103: 11
Time-interval 104: 8
Time-interval 105: 11
Time-interval 106: 7
Time-interval 107: 11
Time-interval 108: 5
Time-interval 109: 11
Time-interval 110: 7
Time-interval 111: 8
Time-interval 112: 11
Time-interval 113: 10
Time-interval 114: 6
Time-interval 115: 11
Time-interval 116: 6
Time-interval 117: 10
Time-interval 118: 14
Time-interval 119: 8
Time-interval 120: 5
