-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Morning
Iteration: 2
Execution time: 42 msec
-------------------------------------
Time 1: 2.8281074923563105E-10
Time 2: 2.748384481104681E-10
Time 3: 2.79849459254643E-10
Time 4: 2.7861433024079645E-10
Time 5: 2.7367610275953395E-10
Time 6: 2.702484781412705E-10
Time 7: 2.7652112067928244E-10
Time 8: 2.744133111703743E-10
Time 9: 2.6934513832698876E-10
Time 10: 2.775655574892631E-10
Time 11: 2.7598063436305154E-10
Time 12: 2.6291583229468783E-10
Time 13: 2.7642358005713914E-10
Time 14: 2.721094945291195E-10
Time 15: 2.737722071982568E-10
Time 16: 2.71472565537401E-10
Time 17: 2.724182604971775E-10
Time 18: 2.748733053895469E-10
Time 19: 2.788175325322553E-10
Time 20: 2.795594761265408E-10
Time 21: 2.665235144481216E-10
Time 22: 2.738165976935473E-10
Time 23: 2.6828827960984264E-10
Time 24: 2.701106011779039E-10
Time 25: 2.74131365563972E-10
Time 26: 2.7536883165246896E-10
Time 27: 2.614375358738001E-10
Time 28: 2.718789327893077E-10
Time 29: 2.735168786602088E-10
Time 30: 2.660546483834018E-10
Time 31: 2.7439790377760394E-10
Time 32: 2.6767373530686814E-10
Time 33: 2.6924612634528114E-10
Time 34: 2.758110874833607E-10
Time 35: 2.747868643815941E-10
Time 36: 2.8295022512343686E-10
Time 37: 2.8413952931599684E-10
Time 38: 2.8092096059289725E-10
Time 39: 2.825429202199479E-10
Time 40: 2.7772328836280093E-10
Time 41: 2.7915002121971395E-10
Time 42: 2.659329917860913E-10
Time 43: 2.666915646023733E-10
Time 44: 2.775541596481726E-10
Time 45: 2.6603599234017896E-10
Time 46: 2.737301854686185E-10
Time 47: 2.7371064735778715E-10
Time 48: 2.783333817647909E-10
Time 49: 2.8014205899980055E-10
Time 50: 2.796474147190798E-10
Time 51: 2.8120541448307436E-10
Time 52: 2.800498702192178E-10
Time 53: 2.8078633802360966E-10
Time 54: 2.7552415583814236E-10
Time 55: 2.8457474259405665E-10
Time 56: 2.7560462718505356E-10
Time 57: 2.8088238191788765E-10
Time 58: 2.7034683285317904E-10
Time 59: 2.7431475921572454E-10
Time 60: 2.756554499475357E-10
Time 61: 2.8620140683089595E-10
Time 62: 2.780648776946533E-10
Time 63: 2.8616877235673694E-10
Time 64: 2.864143851313778E-10
Time 65: 2.8484465959962095E-10
Time 66: 2.7489868403925974E-10
Time 67: 2.904092538109502E-10
Time 68: 2.839815395502448E-10
Time 69: 2.8569885078394533E-10
Time 70: 2.854964502723671E-10
Time 71: 2.875876947579019E-10
Time 72: 2.8252796363087333E-10
Time 73: 2.83815263060842E-10
Time 74: 2.7213464966040524E-10
Time 75: 2.826308604851926E-10
Time 76: 2.855085876413261E-10
Time 77: 2.76467173933016E-10
Time 78: 2.865782971729275E-10
Time 79: 2.887434305079649E-10
Time 80: 2.9535172202992436E-10
Time 81: 2.8289112827571183E-10
Time 82: 2.891339172208418E-10
Time 83: 2.9417790212391543E-10
Time 84: 2.96329994071146E-10
Time 85: 2.9169261616658457E-10
Time 86: 2.978243838055425E-10
Time 87: 2.93553884769285E-10
Time 88: 2.84804705989612E-10
Time 89: 2.850048537207829E-10
Time 90: 2.862694401389339E-10
Time 91: 3.041389579540442E-10
Time 92: 2.98188645280693E-10
Time 93: 2.939835384836597E-10
Time 94: 2.870964263006673E-10
Time 95: 2.9252920302327744E-10
Time 96: 2.9568013638417223E-10
Time 97: 2.985482537956181E-10
Time 98: 2.9800430403951013E-10
Time 99: 3.040191988843822E-10
Time 100: 2.948212644102078E-10
Time 101: 2.9599795951995775E-10
Time 102: 2.817012821420764E-10
Time 103: 2.8503673113824865E-10
Time 104: 2.935229447953452E-10
Time 105: 2.852839740143864E-10
Time 106: 2.8191888660382917E-10
Time 107: 2.831138689497395E-10
Time 108: 2.862388527157355E-10
Time 109: 2.92734405970132E-10
Time 110: 2.9752825728848945E-10
Time 111: 2.8834980606504643E-10
Time 112: 3.023520066710155E-10
Time 113: 2.973734410700424E-10
Time 114: 2.866002603067248E-10
Time 115: 2.98200961258791E-10
Time 116: 2.9952966083417684E-10
Time 117: 2.940640509537489E-10
Time 118: 2.895811009042862E-10
Time 119: 2.94491674569275E-10
Time 120: 2.85600052848904E-10
