-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Morning
Iteration: 2
Look-ahead time: 60.0 sec
Execution time: -16817 msec
-------------------------------------
Time-interval 1: 2
Time-interval 2: 5
Time-interval 3: 3
Time-interval 4: 7
Time-interval 5: 6
Time-interval 6: 2
Time-interval 7: 3
Time-interval 8: 6
Time-interval 9: 4
Time-interval 10: 0
Time-interval 11: 4
Time-interval 12: 3
Time-interval 13: 7
Time-interval 14: 3
Time-interval 15: 2
Time-interval 16: 4
Time-interval 17: 5
Time-interval 18: 3
Time-interval 19: 3
Time-interval 20: 5
Time-interval 21: 5
Time-interval 22: 6
Time-interval 23: 5
Time-interval 24: 2
Time-interval 25: 4
Time-interval 26: 10
Time-interval 27: 10
Time-interval 28: 5
Time-interval 29: 3
Time-interval 30: 5
Time-interval 31: 6
Time-interval 32: 8
Time-interval 33: 7
Time-interval 34: 8
Time-interval 35: 4
Time-interval 36: 4
Time-interval 37: 4
Time-interval 38: 8
Time-interval 39: 5
Time-interval 40: 8
Time-interval 41: 7
Time-interval 42: 7
Time-interval 43: 8
Time-interval 44: 8
Time-interval 45: 4
Time-interval 46: 6
Time-interval 47: 7
Time-interval 48: 6
Time-interval 49: 9
Time-interval 50: 11
Time-interval 51: 12
Time-interval 52: 5
Time-interval 53: 5
Time-interval 54: 3
Time-interval 55: 6
Time-interval 56: 12
Time-interval 57: 14
Time-interval 58: 5
Time-interval 59: 12
Time-interval 60: 11
Time-interval 61: 12
Time-interval 62: 9
Time-interval 63: 13
Time-interval 64: 7
Time-interval 65: 8
Time-interval 66: 9
Time-interval 67: 5
Time-interval 68: 20
Time-interval 69: 7
Time-interval 70: 12
Time-interval 71: 4
Time-interval 72: 7
Time-interval 73: 10
Time-interval 74: 5
Time-interval 75: 12
Time-interval 76: 15
Time-interval 77: 14
Time-interval 78: 11
Time-interval 79: 16
Time-interval 80: 10
Time-interval 81: 6
Time-interval 82: 10
Time-interval 83: 11
Time-interval 84: 23
Time-interval 85: 9
Time-interval 86: 7
Time-interval 87: 13
Time-interval 88: 21
Time-interval 89: 12
Time-interval 90: 15
Time-interval 91: 11
Time-interval 92: 17
Time-interval 93: 9
Time-interval 94: 14
Time-interval 95: 13
Time-interval 96: 10
Time-interval 97: 17
Time-interval 98: 19
Time-interval 99: 15
Time-interval 100: 8
Time-interval 101: 13
Time-interval 102: 11
Time-interval 103: 11
Time-interval 104: 14
Time-interval 105: 20
Time-interval 106: 15
Time-interval 107: 17
Time-interval 108: 18
Time-interval 109: 17
Time-interval 110: 10
Time-interval 111: 15
Time-interval 112: 12
Time-interval 113: 16
Time-interval 114: 16
Time-interval 115: 16
Time-interval 116: 11
Time-interval 117: 25
Time-interval 118: 18
Time-interval 119: 15
Time-interval 120: 16
21454
