-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Morning
Iteration: 1
Execution time: 44 msec
-------------------------------------
Time 1: 2.678702610805322E-10
Time 2: 2.6818769656545523E-10
Time 3: 2.7653183943462924E-10
Time 4: 2.7138633907270335E-10
Time 5: 2.6448654502034756E-10
Time 6: 2.650304422536574E-10
Time 7: 2.744578710495441E-10
Time 8: 2.7167581923342756E-10
Time 9: 2.767335421861586E-10
Time 10: 2.669950036997042E-10
Time 11: 2.668033430449248E-10
Time 12: 2.6660483167189166E-10
Time 13: 2.643849096134821E-10
Time 14: 2.684904770733056E-10
Time 15: 2.7942141262093927E-10
Time 16: 2.7982774971930537E-10
Time 17: 2.735558024179981E-10
Time 18: 2.8030463929601134E-10
Time 19: 2.8953599527408574E-10
Time 20: 2.916226748922414E-10
Time 21: 2.808875135464621E-10
Time 22: 2.6949253289579954E-10
Time 23: 2.8190913741344304E-10
Time 24: 2.7654184286762594E-10
Time 25: 2.949335842315102E-10
Time 26: 2.904203740309593E-10
Time 27: 2.8001071115061636E-10
Time 28: 2.6907507383603786E-10
Time 29: 2.7313461655037893E-10
Time 30: 2.814721158966038E-10
Time 31: 2.875931173404011E-10
Time 32: 2.806021293720294E-10
Time 33: 2.709195669107167E-10
Time 34: 2.7402006683008694E-10
Time 35: 2.8770065048692157E-10
Time 36: 2.862230296216832E-10
Time 37: 2.9716780433894865E-10
Time 38: 2.885469327946063E-10
Time 39: 2.9034902198418726E-10
Time 40: 3.0036932827579297E-10
Time 41: 2.7712592791111844E-10
Time 42: 2.7757743707766955E-10
Time 43: 2.73699255870927E-10
Time 44: 2.814554467590367E-10
Time 45: 2.8850598567123615E-10
Time 46: 2.8809186693486197E-10
Time 47: 2.8903073411977917E-10
Time 48: 2.841382201879447E-10
Time 49: 2.895927981612034E-10
Time 50: 2.955089167604063E-10
Time 51: 2.8991130518742337E-10
Time 52: 2.8469807173708176E-10
Time 53: 2.865878974963648E-10
Time 54: 2.7951394541509427E-10
Time 55: 2.881852771558601E-10
Time 56: 2.8792848139467755E-10
Time 57: 2.943907845044436E-10
Time 58: 2.842555887080733E-10
Time 59: 2.863922153267439E-10
Time 60: 2.851073155799101E-10
Time 61: 2.7655358696144684E-10
Time 62: 2.908113950111771E-10
Time 63: 2.8936306185028035E-10
Time 64: 2.949912479086634E-10
Time 65: 2.8802728799326626E-10
Time 66: 2.830221181393326E-10
Time 67: 2.9515499341719965E-10
Time 68: 3.0068428334704927E-10
Time 69: 2.7512910843112084E-10
Time 70: 2.9280636253026243E-10
Time 71: 2.8566712465808037E-10
Time 72: 2.884851093782639E-10
Time 73: 2.882862440815159E-10
Time 74: 2.847180733321995E-10
Time 75: 2.8994413443321667E-10
Time 76: 2.9137687958895905E-10
Time 77: 2.8582254664430247E-10
Time 78: 2.889375327576091E-10
Time 79: 2.9773794283604273E-10
Time 80: 2.9584800537897323E-10
Time 81: 2.888088443321779E-10
Time 82: 2.9532107359035747E-10
Time 83: 2.869889552347202E-10
Time 84: 2.874434661301721E-10
Time 85: 2.902119819410567E-10
Time 86: 2.9328887983276306E-10
Time 87: 2.886503858847268E-10
Time 88: 2.913817281853382E-10
Time 89: 2.839228821820772E-10
Time 90: 2.922146576406418E-10
Time 91: 2.943784320228637E-10
Time 92: 2.92590994201021E-10
Time 93: 2.859845934965663E-10
Time 94: 2.8931984561947775E-10
Time 95: 2.7928708070002387E-10
Time 96: 2.869295772534828E-10
Time 97: 2.8762269453280937E-10
Time 98: 2.8727079963861893E-10
Time 99: 2.883228718250763E-10
Time 100: 2.850778869898371E-10
Time 101: 2.8957429086513967E-10
Time 102: 2.8345192165929227E-10
Time 103: 2.7539340996732255E-10
Time 104: 2.881267699019009E-10
Time 105: 2.802885204380584E-10
Time 106: 2.8449691206525775E-10
Time 107: 2.830199987199428E-10
Time 108: 2.9073034205641867E-10
Time 109: 2.934317169513901E-10
Time 110: 2.916373085421032E-10
Time 111: 2.9907522052907994E-10
Time 112: 2.7788575664812425E-10
Time 113: 2.794448215789024E-10
Time 114: 2.7955521559359453E-10
Time 115: 2.9235359128703905E-10
Time 116: 2.884663253217528E-10
Time 117: 2.8317683324578346E-10
Time 118: 2.8744764164411634E-10
Time 119: 2.9409759497267583E-10
Time 120: 2.796001430697595E-10
