-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Morning
Iteration: 1
Look-ahead time: 30.0 sec
Execution time: -15723 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 1
Time-interval 3: 5
Time-interval 4: 5
Time-interval 5: 1
Time-interval 6: 2
Time-interval 7: 2
Time-interval 8: 3
Time-interval 9: 4
Time-interval 10: 4
Time-interval 11: 1
Time-interval 12: 2
Time-interval 13: 1
Time-interval 14: 2
Time-interval 15: 1
Time-interval 16: 2
Time-interval 17: 3
Time-interval 18: 3
Time-interval 19: 2
Time-interval 20: 4
Time-interval 21: 3
Time-interval 22: 4
Time-interval 23: 1
Time-interval 24: 3
Time-interval 25: 2
Time-interval 26: 2
Time-interval 27: 3
Time-interval 28: 3
Time-interval 29: 0
Time-interval 30: 2
Time-interval 31: 4
Time-interval 32: 1
Time-interval 33: 0
Time-interval 34: 2
Time-interval 35: 1
Time-interval 36: 4
Time-interval 37: 2
Time-interval 38: 3
Time-interval 39: 0
Time-interval 40: 0
Time-interval 41: 1
Time-interval 42: 3
Time-interval 43: 5
Time-interval 44: 2
Time-interval 45: 2
Time-interval 46: 3
Time-interval 47: 2
Time-interval 48: 4
Time-interval 49: 2
Time-interval 50: 0
Time-interval 51: 0
Time-interval 52: 2
Time-interval 53: 3
Time-interval 54: 3
Time-interval 55: 1
Time-interval 56: 3
Time-interval 57: 0
Time-interval 58: 2
Time-interval 59: 3
Time-interval 60: 2
Time-interval 61: 1
Time-interval 62: 2
Time-interval 63: 2
Time-interval 64: 2
Time-interval 65: 3
Time-interval 66: 5
Time-interval 67: 1
Time-interval 68: 2
Time-interval 69: 0
Time-interval 70: 3
Time-interval 71: 2
Time-interval 72: 5
Time-interval 73: 6
Time-interval 74: 1
Time-interval 75: 1
Time-interval 76: 2
Time-interval 77: 0
Time-interval 78: 5
Time-interval 79: 3
Time-interval 80: 1
Time-interval 81: 3
Time-interval 82: 0
Time-interval 83: 3
Time-interval 84: 2
Time-interval 85: 4
Time-interval 86: 4
Time-interval 87: 3
Time-interval 88: 3
Time-interval 89: 2
Time-interval 90: 2
Time-interval 91: 2
Time-interval 92: 1
Time-interval 93: 3
Time-interval 94: 3
Time-interval 95: 1
Time-interval 96: 1
Time-interval 97: 2
Time-interval 98: 6
Time-interval 99: 3
Time-interval 100: 3
Time-interval 101: 3
Time-interval 102: 4
Time-interval 103: 3
Time-interval 104: 5
Time-interval 105: 0
Time-interval 106: 2
Time-interval 107: 3
Time-interval 108: 3
Time-interval 109: 2
Time-interval 110: 4
Time-interval 111: 2
Time-interval 112: 6
Time-interval 113: 4
Time-interval 114: 6
Time-interval 115: 4
Time-interval 116: 2
Time-interval 117: 2
Time-interval 118: 0
Time-interval 119: 4
Time-interval 120: 1
21315
