-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Execution time: 28 msec
-------------------------------------
Time 1: 2.367211033080526E-10
Time 2: 2.3501761896355895E-10
Time 3: 2.2876333047370792E-10
Time 4: 2.1677871033001853E-10
Time 5: 2.2135637319938268E-10
Time 6: 2.2668766125526321E-10
Time 7: 2.3102109718042195E-10
Time 8: 2.17576584917521E-10
Time 9: 2.289583406373591E-10
Time 10: 2.306968195817761E-10
Time 11: 2.371844244485277E-10
Time 12: 2.3157098499910256E-10
Time 13: 2.3423792311250383E-10
Time 14: 2.3660269303903503E-10
Time 15: 2.284063594343797E-10
Time 16: 2.382604802751833E-10
Time 17: 2.415771570913707E-10
Time 18: 2.3759438038542954E-10
Time 19: 2.2808444812416512E-10
Time 20: 2.2462512116308706E-10
Time 21: 2.348872347373909E-10
Time 22: 2.2045862786008686E-10
Time 23: 2.1311931230456573E-10
Time 24: 2.2256142682798237E-10
Time 25: 2.214578729197791E-10
Time 26: 2.2197475964866743E-10
Time 27: 2.2743569483227315E-10
Time 28: 2.3500900703818597E-10
Time 29: 2.357824189788927E-10
Time 30: 2.39326788672927E-10
Time 31: 2.3998381407760203E-10
Time 32: 2.3982698689338907E-10
Time 33: 2.443100349113159E-10
Time 34: 2.3313406623267997E-10
Time 35: 2.4104462990710283E-10
Time 36: 2.3801760944703997E-10
Time 37: 2.2465088065251255E-10
Time 38: 2.3709524451829287E-10
Time 39: 2.378467768178006E-10
Time 40: 2.415043035524612E-10
Time 41: 2.3024767116136015E-10
Time 42: 2.2905968463325968E-10
Time 43: 2.353944787365864E-10
Time 44: 2.270777929022495E-10
Time 45: 2.3478926069172817E-10
Time 46: 2.348943625291651E-10
Time 47: 2.347368230687996E-10
Time 48: 2.3240983558525325E-10
Time 49: 2.2959206965814784E-10
Time 50: 2.3501612336266757E-10
Time 51: 2.2973369295810115E-10
Time 52: 2.341782749177658E-10
Time 53: 2.344554488848387E-10
Time 54: 2.328651502514169E-10
Time 55: 2.3517666719507434E-10
Time 56: 2.348899360038502E-10
Time 57: 2.4119893400475486E-10
Time 58: 2.376801178368266E-10
Time 59: 2.3272480595186212E-10
Time 60: 2.288881405627479E-10
Time 61: 2.2591796394884864E-10
Time 62: 2.33081587029798E-10
Time 63: 2.269143832288641E-10
Time 64: 2.3481601842226514E-10
Time 65: 2.3808319118822563E-10
Time 66: 2.356454703156736E-10
Time 67: 2.312433030767137E-10
Time 68: 2.367207788915991E-10
Time 69: 2.401302114426888E-10
Time 70: 2.462242400716739E-10
Time 71: 2.4190671508160064E-10
Time 72: 2.468344705141856E-10
Time 73: 2.406254163250708E-10
Time 74: 2.438903491091852E-10
Time 75: 2.433102248158907E-10
Time 76: 2.418861746138674E-10
Time 77: 2.465664075463406E-10
Time 78: 2.3675361345471227E-10
Time 79: 2.398051202384185E-10
Time 80: 2.431623587776139E-10
Time 81: 2.3595905549686915E-10
Time 82: 2.330233552195555E-10
Time 83: 2.3599309542434537E-10
Time 84: 2.3937427909138797E-10
Time 85: 2.3521915794676114E-10
Time 86: 2.4217104577032007E-10
Time 87: 2.3861626663688254E-10
Time 88: 2.387969791327725E-10
Time 89: 2.411926543941142E-10
Time 90: 2.4309041978844835E-10
Time 91: 2.4515907840704235E-10
Time 92: 2.302371181428809E-10
Time 93: 2.3574127958790515E-10
Time 94: 2.325341393468904E-10
Time 95: 2.408998510980551E-10
Time 96: 2.401234621403843E-10
Time 97: 2.270936600588685E-10
Time 98: 2.2540752915429484E-10
Time 99: 2.374002114365283E-10
Time 100: 2.360705500798304E-10
Time 101: 2.3632532967752724E-10
Time 102: 2.3186702319910958E-10
Time 103: 2.440622784077906E-10
Time 104: 2.4001565746631757E-10
Time 105: 2.2523267009445222E-10
Time 106: 2.40060479047204E-10
Time 107: 2.354267909400437E-10
Time 108: 2.3466820015776554E-10
Time 109: 2.3972230594180485E-10
Time 110: 2.391458519012938E-10
Time 111: 2.3644773821485E-10
Time 112: 2.3042190973820023E-10
Time 113: 2.2909565590660535E-10
Time 114: 2.3117568642003593E-10
Time 115: 2.3570057852242136E-10
Time 116: 2.3659634180721647E-10
Time 117: 2.2806303068446902E-10
Time 118: 2.3191539738600384E-10
Time 119: 2.430440501831054E-10
Time 120: 2.439646280502813E-10
