-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Look-ahead time: 45.0 sec
Execution time: -13091 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 5
Time-interval 3: 5
Time-interval 4: 3
Time-interval 5: 2
Time-interval 6: 3
Time-interval 7: 3
Time-interval 8: 2
Time-interval 9: 0
Time-interval 10: 3
Time-interval 11: 4
Time-interval 12: 1
Time-interval 13: 4
Time-interval 14: 3
Time-interval 15: 6
Time-interval 16: 1
Time-interval 17: 1
Time-interval 18: 3
Time-interval 19: 3
Time-interval 20: 3
Time-interval 21: 3
Time-interval 22: 3
Time-interval 23: 1
Time-interval 24: 4
Time-interval 25: 1
Time-interval 26: 2
Time-interval 27: 7
Time-interval 28: 0
Time-interval 29: 1
Time-interval 30: 2
Time-interval 31: 1
Time-interval 32: 1
Time-interval 33: 2
Time-interval 34: 4
Time-interval 35: 2
Time-interval 36: 1
Time-interval 37: 3
Time-interval 38: 3
Time-interval 39: 1
Time-interval 40: 2
Time-interval 41: 1
Time-interval 42: 4
Time-interval 43: 3
Time-interval 44: 3
Time-interval 45: 3
Time-interval 46: 4
Time-interval 47: 4
Time-interval 48: 3
Time-interval 49: 4
Time-interval 50: 2
Time-interval 51: 3
Time-interval 52: 1
Time-interval 53: 0
Time-interval 54: 2
Time-interval 55: 3
Time-interval 56: 3
Time-interval 57: 4
Time-interval 58: 3
Time-interval 59: 5
Time-interval 60: 3
Time-interval 61: 0
Time-interval 62: 0
Time-interval 63: 4
Time-interval 64: 1
Time-interval 65: 1
Time-interval 66: 4
Time-interval 67: 1
Time-interval 68: 3
Time-interval 69: 3
Time-interval 70: 2
Time-interval 71: 3
Time-interval 72: 5
Time-interval 73: 1
Time-interval 74: 1
Time-interval 75: 3
Time-interval 76: 5
Time-interval 77: 3
Time-interval 78: 2
Time-interval 79: 5
Time-interval 80: 1
Time-interval 81: 3
Time-interval 82: 2
Time-interval 83: 0
Time-interval 84: 2
Time-interval 85: 7
Time-interval 86: 5
Time-interval 87: 1
Time-interval 88: 1
Time-interval 89: 2
Time-interval 90: 5
Time-interval 91: 1
Time-interval 92: 4
Time-interval 93: 3
Time-interval 94: 2
Time-interval 95: 1
Time-interval 96: 0
Time-interval 97: 1
Time-interval 98: 4
Time-interval 99: 5
Time-interval 100: 2
Time-interval 101: 3
Time-interval 102: 4
Time-interval 103: 3
Time-interval 104: 3
Time-interval 105: 4
Time-interval 106: 1
Time-interval 107: 3
Time-interval 108: 5
Time-interval 109: 3
Time-interval 110: 1
Time-interval 111: 6
Time-interval 112: 1
Time-interval 113: 4
Time-interval 114: 3
Time-interval 115: 3
Time-interval 116: 2
Time-interval 117: 3
Time-interval 118: 2
Time-interval 119: 2
Time-interval 120: 0
