-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Evening
Iteration: 2
Execution time: 52 msec
-------------------------------------
Time 1: 2.8024703639496267E-10
Time 2: 2.7691526212148034E-10
Time 3: 2.807102875677313E-10
Time 4: 2.896385887748418E-10
Time 5: 2.8046281360730584E-10
Time 6: 2.885631860755724E-10
Time 7: 2.999529981723281E-10
Time 8: 3.015434138064726E-10
Time 9: 3.056519233319564E-10
Time 10: 2.9833370454820554E-10
Time 11: 2.8380063233014086E-10
Time 12: 2.8569834492612675E-10
Time 13: 2.841670213888463E-10
Time 14: 2.875821452548293E-10
Time 15: 2.7904500887561565E-10
Time 16: 2.833594863848223E-10
Time 17: 2.724987177958576E-10
Time 18: 2.798338904592576E-10
Time 19: 2.785666778533112E-10
Time 20: 2.785453779682882E-10
Time 21: 2.750954010045806E-10
Time 22: 2.837870292099912E-10
Time 23: 2.921491356976064E-10
Time 24: 2.9607625809481896E-10
Time 25: 3.0339560475748985E-10
Time 26: 3.0674983887157495E-10
Time 27: 3.0124115377960297E-10
Time 28: 3.0919210302243663E-10
Time 29: 3.1108623091229017E-10
Time 30: 3.073863787411134E-10
Time 31: 3.0412456978546887E-10
Time 32: 3.0496413475406934E-10
Time 33: 3.069702040701251E-10
Time 34: 3.156362033337003E-10
Time 35: 3.077487863077431E-10
Time 36: 2.8762990442317864E-10
Time 37: 2.9472028101277223E-10
Time 38: 3.026122086982325E-10
Time 39: 2.9178575130789965E-10
Time 40: 2.856281659393697E-10
Time 41: 2.9642312653448255E-10
Time 42: 2.90540198498404E-10
Time 43: 2.969974129663512E-10
Time 44: 2.9215523757590476E-10
Time 45: 3.031726578633297E-10
Time 46: 3.067006751237696E-10
Time 47: 2.999070736433677E-10
Time 48: 3.076634999130062E-10
Time 49: 3.177187483986626E-10
Time 50: 3.12199413847593E-10
Time 51: 3.0029066151217896E-10
Time 52: 3.124766931064081E-10
Time 53: 3.1028030301715496E-10
Time 54: 2.913835527986092E-10
Time 55: 3.061410475927573E-10
Time 56: 3.033667739185143E-10
Time 57: 3.1171169409437144E-10
Time 58: 3.0611414855970027E-10
Time 59: 3.131897890595644E-10
Time 60: 3.1981353691728465E-10
Time 61: 3.118295245172331E-10
Time 62: 3.104945275595094E-10
Time 63: 3.135798239400415E-10
Time 64: 3.1679909215672545E-10
Time 65: 3.193695534142326E-10
Time 66: 3.201415104914695E-10
Time 67: 3.2086089299897097E-10
Time 68: 3.1809844858612105E-10
Time 69: 3.28994886120584E-10
Time 70: 3.2529526411194836E-10
Time 71: 3.291842995668269E-10
Time 72: 3.0281507323847357E-10
Time 73: 3.1273640251246675E-10
Time 74: 3.118731135204113E-10
Time 75: 3.212885488903028E-10
Time 76: 3.1190698161904335E-10
Time 77: 3.228980207456553E-10
Time 78: 3.3807185100318156E-10
Time 79: 3.3281952842202665E-10
Time 80: 3.252845444684989E-10
Time 81: 3.329482555040089E-10
Time 82: 3.385413493949218E-10
Time 83: 3.284944271727744E-10
Time 84: 3.414254231699502E-10
Time 85: 3.274346326699461E-10
Time 86: 3.249108265548036E-10
Time 87: 3.146004453145883E-10
Time 88: 3.2857784177987095E-10
Time 89: 3.1977790871485234E-10
Time 90: 3.2156267391595266E-10
Time 91: 3.1467655327186683E-10
Time 92: 3.252312194201691E-10
Time 93: 3.2897238885767004E-10
Time 94: 3.1653112040494846E-10
Time 95: 3.256969304314511E-10
Time 96: 3.2671480321055843E-10
Time 97: 3.409234020812723E-10
Time 98: 3.4229177841549137E-10
Time 99: 3.4506870192399086E-10
Time 100: 3.4422229053662147E-10
Time 101: 3.4582003657372683E-10
Time 102: 3.4569392664359354E-10
Time 103: 3.495383362079051E-10
Time 104: 3.5074349517845696E-10
Time 105: 3.492183838153868E-10
Time 106: 3.515019100884404E-10
Time 107: 3.598256879159091E-10
Time 108: 3.425042439704915E-10
Time 109: 3.3135522710507024E-10
Time 110: 3.2962661705313817E-10
Time 111: 3.283509507183721E-10
Time 112: 3.248502322530687E-10
Time 113: 3.2752363128511536E-10
Time 114: 3.364196899290047E-10
Time 115: 3.429615689942424E-10
Time 116: 3.4785131510368033E-10
Time 117: 3.4960135812295273E-10
Time 118: 3.5315082102817816E-10
Time 119: 3.401464470956076E-10
Time 120: 3.4451914457782225E-10
