-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Evening
Iteration: 1
Look-ahead time: 15.0 sec
Execution time: -23872 msec
-------------------------------------
Time-interval 1: 6
Time-interval 2: 6
Time-interval 3: 8
Time-interval 4: 11
Time-interval 5: 9
Time-interval 6: 8
Time-interval 7: 13
Time-interval 8: 10
Time-interval 9: 5
Time-interval 10: 12
Time-interval 11: 8
Time-interval 12: 8
Time-interval 13: 9
Time-interval 14: 8
Time-interval 15: 13
Time-interval 16: 10
Time-interval 17: 15
Time-interval 18: 16
Time-interval 19: 11
Time-interval 20: 8
Time-interval 21: 10
Time-interval 22: 8
Time-interval 23: 12
Time-interval 24: 5
Time-interval 25: 11
Time-interval 26: 14
Time-interval 27: 9
Time-interval 28: 13
Time-interval 29: 14
Time-interval 30: 14
Time-interval 31: 9
Time-interval 32: 12
Time-interval 33: 11
Time-interval 34: 18
Time-interval 35: 13
Time-interval 36: 15
Time-interval 37: 15
Time-interval 38: 10
Time-interval 39: 8
Time-interval 40: 13
Time-interval 41: 19
Time-interval 42: 15
Time-interval 43: 15
Time-interval 44: 15
Time-interval 45: 24
Time-interval 46: 11
Time-interval 47: 13
Time-interval 48: 10
Time-interval 49: 15
Time-interval 50: 18
Time-interval 51: 20
Time-interval 52: 10
Time-interval 53: 10
Time-interval 54: 15
Time-interval 55: 8
Time-interval 56: 18
Time-interval 57: 20
Time-interval 58: 11
Time-interval 59: 16
Time-interval 60: 19
Time-interval 61: 17
Time-interval 62: 17
Time-interval 63: 17
Time-interval 64: 21
Time-interval 65: 20
Time-interval 66: 19
Time-interval 67: 15
Time-interval 68: 21
Time-interval 69: 18
Time-interval 70: 14
Time-interval 71: 14
Time-interval 72: 16
Time-interval 73: 20
Time-interval 74: 14
Time-interval 75: 21
Time-interval 76: 20
Time-interval 77: 26
Time-interval 78: 24
Time-interval 79: 10
Time-interval 80: 15
Time-interval 81: 20
Time-interval 82: 15
Time-interval 83: 17
Time-interval 84: 19
Time-interval 85: 14
Time-interval 86: 15
Time-interval 87: 22
Time-interval 88: 22
Time-interval 89: 23
Time-interval 90: 24
Time-interval 91: 29
Time-interval 92: 23
Time-interval 93: 26
Time-interval 94: 24
Time-interval 95: 22
Time-interval 96: 19
Time-interval 97: 25
Time-interval 98: 16
Time-interval 99: 22
Time-interval 100: 21
Time-interval 101: 29
Time-interval 102: 20
Time-interval 103: 22
Time-interval 104: 18
Time-interval 105: 21
Time-interval 106: 27
Time-interval 107: 14
Time-interval 108: 33
Time-interval 109: 33
Time-interval 110: 29
Time-interval 111: 25
Time-interval 112: 21
Time-interval 113: 15
Time-interval 114: 26
Time-interval 115: 28
Time-interval 116: 23
Time-interval 117: 34
Time-interval 118: 27
Time-interval 119: 28
Time-interval 120: 15
