-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Lunch
Iteration: 2
Execution time: 17 msec
-------------------------------------
Time 1: 2.2581083449270361E-10
Time 2: 2.2256735111964606E-10
Time 3: 2.252845124983951E-10
Time 4: 2.294597400948811E-10
Time 5: 2.2478083269990845E-10
Time 6: 2.1535627822133503E-10
Time 7: 2.1999870160668289E-10
Time 8: 2.1528780152863454E-10
Time 9: 2.1015008802885797E-10
Time 10: 2.0484898432102748E-10
Time 11: 2.0690897481106706E-10
Time 12: 2.037296564953066E-10
Time 13: 2.0940781132594885E-10
Time 14: 2.049107102277125E-10
Time 15: 2.098118478681858E-10
Time 16: 2.0334175103914596E-10
Time 17: 2.0747458144612442E-10
Time 18: 2.084464796412764E-10
Time 19: 1.8936805843673453E-10
Time 20: 2.0427251863891997E-10
Time 21: 1.9562828507400944E-10
Time 22: 2.045457503676038E-10
Time 23: 2.1144283133476328E-10
Time 24: 2.1836751279604755E-10
Time 25: 2.2135910677382246E-10
Time 26: 2.2777116481852161E-10
Time 27: 2.2721918524234273E-10
Time 28: 2.263247627842007E-10
Time 29: 2.2646053065600662E-10
Time 30: 2.1968809869175054E-10
Time 31: 2.3118352360027121E-10
Time 32: 2.2862284761835264E-10
Time 33: 2.246877563958508E-10
Time 34: 2.2569279244964115E-10
Time 35: 2.2303978114835514E-10
Time 36: 2.260174215613794E-10
Time 37: 2.256275190664805E-10
Time 38: 2.2713200011818561E-10
Time 39: 2.2805260422372664E-10
Time 40: 2.2506026421254708E-10
Time 41: 2.2421610730686373E-10
Time 42: 2.297478903545784E-10
Time 43: 2.2560090252701325E-10
Time 44: 2.249989026347807E-10
Time 45: 2.2555815326257578E-10
Time 46: 2.181045433445674E-10
Time 47: 2.2468215180316645E-10
Time 48: 2.233472284120631E-10
Time 49: 2.1815645580255542E-10
Time 50: 2.1521539490404745E-10
Time 51: 2.113990216733978E-10
Time 52: 2.0952282922207692E-10
Time 53: 2.169513706212701E-10
Time 54: 2.1087033282424668E-10
Time 55: 2.1495202889306994E-10
Time 56: 2.1452049421773737E-10
Time 57: 2.2144193698739805E-10
Time 58: 2.2178362004639388E-10
Time 59: 2.067195566488424E-10
Time 60: 2.1868503936410659E-10
Time 61: 2.0925922916420098E-10
Time 62: 2.2142007440247478E-10
Time 63: 2.2770495854504342E-10
Time 64: 2.2670434323543564E-10
Time 65: 2.2672970908893986E-10
Time 66: 2.3007635633537514E-10
Time 67: 2.2968422060702552E-10
Time 68: 2.2201784285271817E-10
Time 69: 2.3543353735871137E-10
Time 70: 2.3552432549365236E-10
Time 71: 2.3946830903621146E-10
Time 72: 2.3583401038644806E-10
Time 73: 2.341429370072798E-10
Time 74: 2.374036235834037E-10
Time 75: 2.33457917713743E-10
Time 76: 2.2470695973246272E-10
Time 77: 2.3012559965573242E-10
Time 78: 2.273850252438996E-10
Time 79: 2.265996749788424E-10
Time 80: 2.2246215422554043E-10
Time 81: 2.2363997274836658E-10
Time 82: 2.2168204629431625E-10
Time 83: 2.1583270081282394E-10
Time 84: 2.1291665492999763E-10
Time 85: 2.1226731287683712E-10
Time 86: 2.0919202250600256E-10
Time 87: 2.1002196479135086E-10
Time 88: 2.1169656139211807E-10
Time 89: 2.1316571220097755E-10
Time 90: 2.164617149996851E-10
Time 91: 2.1666841364671E-10
Time 92: 2.2501331813519264E-10
Time 93: 2.259433386312052E-10
Time 94: 2.2473380429918382E-10
Time 95: 2.3425213633732196E-10
Time 96: 2.348236124376073E-10
Time 97: 2.341264637294993E-10
Time 98: 2.3679080533779103E-10
Time 99: 2.378734719962047E-10
Time 100: 2.3881215128070574E-10
Time 101: 2.2964203509199498E-10
Time 102: 2.399385656996225E-10
Time 103: 2.363959329234859E-10
Time 104: 2.4072274776179285E-10
Time 105: 2.3747146947413207E-10
Time 106: 2.3731738767846283E-10
Time 107: 2.3206947063021839E-10
Time 108: 2.364658508679915E-10
Time 109: 2.320776723510368E-10
Time 110: 2.3237307244160025E-10
Time 111: 2.3640488584249563E-10
Time 112: 2.3538138559942184E-10
Time 113: 2.2442934642810877E-10
Time 114: 2.3012954262896052E-10
Time 115: 2.2414873501674105E-10
Time 116: 2.123190750775632E-10
Time 117: 2.1925301224001429E-10
Time 118: 2.2529221807918027E-10
Time 119: 2.1788586663014494E-10
Time 120: 2.198018164399448E-10
