-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Lunch
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -5913 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 2
Time-interval 3: 1
Time-interval 4: 2
Time-interval 5: 3
Time-interval 6: 3
Time-interval 7: 2
Time-interval 8: 0
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 0
Time-interval 13: 3
Time-interval 14: 5
Time-interval 15: 3
Time-interval 16: 4
Time-interval 17: 0
Time-interval 18: 2
Time-interval 19: 3
Time-interval 20: 5
Time-interval 21: 5
Time-interval 22: 4
Time-interval 23: 4
Time-interval 24: 2
Time-interval 25: 2
Time-interval 26: 2
Time-interval 27: 3
Time-interval 28: 4
Time-interval 29: 4
Time-interval 30: 2
Time-interval 31: 5
Time-interval 32: 4
Time-interval 33: 5
Time-interval 34: 3
Time-interval 35: 7
Time-interval 36: 5
Time-interval 37: 3
Time-interval 38: 6
Time-interval 39: 4
Time-interval 40: 2
Time-interval 41: 3
Time-interval 42: 5
Time-interval 43: 3
Time-interval 44: 1
Time-interval 45: 3
Time-interval 46: 2
Time-interval 47: 2
Time-interval 48: 5
Time-interval 49: 4
Time-interval 50: 1
Time-interval 51: 6
Time-interval 52: 2
Time-interval 53: 7
Time-interval 54: 7
Time-interval 55: 5
Time-interval 56: 2
Time-interval 57: 4
Time-interval 58: 6
Time-interval 59: 0
Time-interval 60: 5
Time-interval 61: 4
Time-interval 62: 6
Time-interval 63: 5
Time-interval 64: 4
Time-interval 65: 5
Time-interval 66: 8
Time-interval 67: 7
Time-interval 68: 4
Time-interval 69: 3
Time-interval 70: 4
Time-interval 71: 6
Time-interval 72: 1
Time-interval 73: 6
Time-interval 74: 6
Time-interval 75: 3
Time-interval 76: 3
Time-interval 77: 4
Time-interval 78: 2
Time-interval 79: 2
Time-interval 80: 1
Time-interval 81: 3
Time-interval 82: 2
Time-interval 83: 4
Time-interval 84: 6
Time-interval 85: 4
Time-interval 86: 3
Time-interval 87: 3
Time-interval 88: 4
Time-interval 89: 3
Time-interval 90: 7
Time-interval 91: 3
Time-interval 92: 5
Time-interval 93: 2
Time-interval 94: 6
Time-interval 95: 3
Time-interval 96: 2
Time-interval 97: 1
Time-interval 98: 3
Time-interval 99: 3
Time-interval 100: 3
Time-interval 101: 7
Time-interval 102: 2
Time-interval 103: 5
Time-interval 104: 5
Time-interval 105: 4
Time-interval 106: 5
Time-interval 107: 2
Time-interval 108: 3
Time-interval 109: 4
Time-interval 110: 7
Time-interval 111: 6
Time-interval 112: 3
Time-interval 113: 4
Time-interval 114: 5
Time-interval 115: 11
Time-interval 116: 10
Time-interval 117: 8
Time-interval 118: 5
Time-interval 119: 6
Time-interval 120: 3
13909
