-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Execution time: 38 msec
-------------------------------------
Time 1: 3.3815334542846883E-10
Time 2: 3.33409076391442E-10
Time 3: 3.3216936708519847E-10
Time 4: 3.365060858626386E-10
Time 5: 3.401961206014153E-10
Time 6: 3.3142277575357946E-10
Time 7: 3.166682521587839E-10
Time 8: 3.234419864940852E-10
Time 9: 3.311118518490335E-10
Time 10: 3.3194194165723356E-10
Time 11: 3.295615002970313E-10
Time 12: 3.3249713220747113E-10
Time 13: 3.366705613834762E-10
Time 14: 3.2976742977797114E-10
Time 15: 3.311681879999079E-10
Time 16: 3.3929740699489693E-10
Time 17: 3.41116848507193E-10
Time 18: 3.5187115444259077E-10
Time 19: 3.4900162770185445E-10
Time 20: 3.461471703722132E-10
Time 21: 3.365015442384643E-10
Time 22: 3.4410954404995407E-10
Time 23: 3.4446629203595905E-10
Time 24: 3.398975702187131E-10
Time 25: 3.4394004127507226E-10
Time 26: 3.45820797366314E-10
Time 27: 3.4201438564346947E-10
Time 28: 3.405127613725158E-10
Time 29: 3.467834692087911E-10
Time 30: 3.3130053335901086E-10
Time 31: 3.3272830427041604E-10
Time 32: 3.1759606099665926E-10
Time 33: 3.319701698959824E-10
Time 34: 3.2588539619478584E-10
Time 35: 3.1696058573872583E-10
Time 36: 3.3208258745896145E-10
Time 37: 3.432533830919871E-10
Time 38: 3.3605588333105754E-10
Time 39: 3.4489875569555287E-10
Time 40: 3.37660861022666E-10
Time 41: 3.4349273451494207E-10
Time 42: 3.510484669481852E-10
Time 43: 3.469092906772712E-10
Time 44: 3.448100661940608E-10
Time 45: 3.4974241007342175E-10
Time 46: 3.4521633811019226E-10
Time 47: 3.48096728374596E-10
Time 48: 3.4594314188060037E-10
Time 49: 3.360956267343753E-10
Time 50: 3.2902708820584025E-10
Time 51: 3.4150791972172236E-10
Time 52: 3.3353757898178564E-10
Time 53: 3.3981079442624143E-10
Time 54: 3.526624718808979E-10
Time 55: 3.5638795176163095E-10
Time 56: 3.4974865937519893E-10
Time 57: 3.5165095067839534E-10
Time 58: 3.5525175732007613E-10
Time 59: 3.539270262839154E-10
Time 60: 3.5846387725779653E-10
Time 61: 3.5856026239368127E-10
Time 62: 3.502784228870028E-10
Time 63: 3.4590037288328584E-10
Time 64: 3.533730748142681E-10
Time 65: 3.5217812635417437E-10
Time 66: 3.4317389953751295E-10
Time 67: 3.3576108646683624E-10
Time 68: 3.405085711299982E-10
Time 69: 3.530071309959736E-10
Time 70: 3.4888349419915687E-10
Time 71: 3.4858926549566934E-10
Time 72: 3.561027745827934E-10
Time 73: 3.574711302207331E-10
Time 74: 3.522389472762844E-10
Time 75: 3.575315340709611E-10
Time 76: 3.537786438267612E-10
Time 77: 3.523703388589991E-10
Time 78: 3.602149655474619E-10
Time 79: 3.579055854454916E-10
Time 80: 3.49552446135115E-10
Time 81: 3.515057211784356E-10
Time 82: 3.525789809261791E-10
Time 83: 3.612898945631016E-10
Time 84: 3.5434744079043895E-10
Time 85: 3.5866308569045605E-10
Time 86: 3.5043197654056295E-10
Time 87: 3.5989558230901846E-10
Time 88: 3.6332525978214E-10
Time 89: 3.629801912300671E-10
Time 90: 3.6391920020398375E-10
Time 91: 3.47578751192875E-10
Time 92: 3.639130506226215E-10
Time 93: 3.5825880638476193E-10
Time 94: 3.478646949543863E-10
Time 95: 3.6095415520394653E-10
Time 96: 3.656719958980908E-10
Time 97: 3.676216472200934E-10
Time 98: 3.7279234741436036E-10
Time 99: 3.710727522829871E-10
Time 100: 3.6991495645971727E-10
Time 101: 3.7412442876497404E-10
Time 102: 3.678341181282129E-10
Time 103: 3.7023214909829805E-10
Time 104: 3.628082351906777E-10
Time 105: 3.6463019144833347E-10
Time 106: 3.640110820554755E-10
Time 107: 3.770025481730537E-10
Time 108: 3.6661326890660064E-10
Time 109: 3.682219574327117E-10
Time 110: 3.623247545831917E-10
Time 111: 3.7016910228103966E-10
Time 112: 3.626336756064258E-10
Time 113: 3.7130594180778425E-10
Time 114: 3.6492389118748133E-10
Time 115: 3.694019876439841E-10
Time 116: 3.6279759307694685E-10
Time 117: 3.6045912318421085E-10
Time 118: 3.701830359084872E-10
Time 119: 3.605505368057906E-10
Time 120: 3.5843966415840423E-10
