-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -37853 msec
-------------------------------------
Time-interval 1: 21
Time-interval 2: 29
Time-interval 3: 27
Time-interval 4: 23
Time-interval 5: 26
Time-interval 6: 19
Time-interval 7: 30
Time-interval 8: 31
Time-interval 9: 29
Time-interval 10: 22
Time-interval 11: 21
Time-interval 12: 31
Time-interval 13: 25
Time-interval 14: 31
Time-interval 15: 23
Time-interval 16: 28
Time-interval 17: 24
Time-interval 18: 28
Time-interval 19: 20
Time-interval 20: 31
Time-interval 21: 17
Time-interval 22: 27
Time-interval 23: 23
Time-interval 24: 22
Time-interval 25: 34
Time-interval 26: 28
Time-interval 27: 30
Time-interval 28: 30
Time-interval 29: 20
Time-interval 30: 21
Time-interval 31: 28
Time-interval 32: 32
Time-interval 33: 24
Time-interval 34: 26
Time-interval 35: 25
Time-interval 36: 30
Time-interval 37: 37
Time-interval 38: 27
Time-interval 39: 38
Time-interval 40: 24
Time-interval 41: 22
Time-interval 42: 22
Time-interval 43: 38
Time-interval 44: 33
Time-interval 45: 33
Time-interval 46: 26
Time-interval 47: 24
Time-interval 48: 32
Time-interval 49: 18
Time-interval 50: 30
Time-interval 51: 28
Time-interval 52: 31
Time-interval 53: 29
Time-interval 54: 34
Time-interval 55: 25
Time-interval 56: 44
Time-interval 57: 26
Time-interval 58: 45
Time-interval 59: 34
Time-interval 60: 28
Time-interval 61: 25
Time-interval 62: 38
Time-interval 63: 41
Time-interval 64: 38
Time-interval 65: 34
Time-interval 66: 29
Time-interval 67: 38
Time-interval 68: 37
Time-interval 69: 39
Time-interval 70: 45
Time-interval 71: 28
Time-interval 72: 36
Time-interval 73: 40
Time-interval 74: 35
Time-interval 75: 42
Time-interval 76: 33
Time-interval 77: 44
Time-interval 78: 33
Time-interval 79: 32
Time-interval 80: 34
Time-interval 81: 39
Time-interval 82: 35
Time-interval 83: 32
Time-interval 84: 44
Time-interval 85: 45
Time-interval 86: 40
Time-interval 87: 37
Time-interval 88: 33
Time-interval 89: 39
Time-interval 90: 42
Time-interval 91: 43
Time-interval 92: 42
Time-interval 93: 45
Time-interval 94: 40
Time-interval 95: 36
Time-interval 96: 46
Time-interval 97: 41
Time-interval 98: 50
Time-interval 99: 30
Time-interval 100: 36
Time-interval 101: 42
Time-interval 102: 30
Time-interval 103: 38
Time-interval 104: 38
Time-interval 105: 54
Time-interval 106: 56
Time-interval 107: 45
Time-interval 108: 39
Time-interval 109: 37
Time-interval 110: 45
Time-interval 111: 50
Time-interval 112: 42
Time-interval 113: 40
Time-interval 114: 45
Time-interval 115: 50
Time-interval 116: 53
Time-interval 117: 42
Time-interval 118: 55
Time-interval 119: 49
Time-interval 120: 50
