-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Look-ahead time: 45.0 sec
Execution time: -39740 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 7
Time-interval 3: 4
Time-interval 4: 4
Time-interval 5: 3
Time-interval 6: 2
Time-interval 7: 3
Time-interval 8: 3
Time-interval 9: 6
Time-interval 10: 10
Time-interval 11: 6
Time-interval 12: 9
Time-interval 13: 7
Time-interval 14: 7
Time-interval 15: 5
Time-interval 16: 4
Time-interval 17: 6
Time-interval 18: 3
Time-interval 19: 5
Time-interval 20: 8
Time-interval 21: 3
Time-interval 22: 7
Time-interval 23: 7
Time-interval 24: 7
Time-interval 25: 6
Time-interval 26: 5
Time-interval 27: 8
Time-interval 28: 4
Time-interval 29: 6
Time-interval 30: 6
Time-interval 31: 7
Time-interval 32: 7
Time-interval 33: 10
Time-interval 34: 4
Time-interval 35: 5
Time-interval 36: 11
Time-interval 37: 7
Time-interval 38: 7
Time-interval 39: 6
Time-interval 40: 10
Time-interval 41: 11
Time-interval 42: 12
Time-interval 43: 3
Time-interval 44: 10
Time-interval 45: 5
Time-interval 46: 10
Time-interval 47: 12
Time-interval 48: 8
Time-interval 49: 4
Time-interval 50: 11
Time-interval 51: 8
Time-interval 52: 8
Time-interval 53: 5
Time-interval 54: 11
Time-interval 55: 18
Time-interval 56: 13
Time-interval 57: 9
Time-interval 58: 8
Time-interval 59: 5
Time-interval 60: 11
Time-interval 61: 10
Time-interval 62: 10
Time-interval 63: 5
Time-interval 64: 11
Time-interval 65: 12
Time-interval 66: 16
Time-interval 67: 12
Time-interval 68: 14
Time-interval 69: 12
Time-interval 70: 17
Time-interval 71: 16
Time-interval 72: 22
Time-interval 73: 10
Time-interval 74: 10
Time-interval 75: 8
Time-interval 76: 13
Time-interval 77: 9
Time-interval 78: 19
Time-interval 79: 7
Time-interval 80: 11
Time-interval 81: 12
Time-interval 82: 9
Time-interval 83: 5
Time-interval 84: 7
Time-interval 85: 16
Time-interval 86: 11
Time-interval 87: 8
Time-interval 88: 14
Time-interval 89: 14
Time-interval 90: 13
Time-interval 91: 13
Time-interval 92: 8
Time-interval 93: 16
Time-interval 94: 23
Time-interval 95: 28
Time-interval 96: 17
Time-interval 97: 12
Time-interval 98: 25
Time-interval 99: 16
Time-interval 100: 12
Time-interval 101: 17
Time-interval 102: 10
Time-interval 103: 22
Time-interval 104: 12
Time-interval 105: 20
Time-interval 106: 16
Time-interval 107: 17
Time-interval 108: 14
Time-interval 109: 21
Time-interval 110: 11
Time-interval 111: 24
Time-interval 112: 14
Time-interval 113: 20
Time-interval 114: 22
Time-interval 115: 23
Time-interval 116: 29
Time-interval 117: 12
Time-interval 118: 21
Time-interval 119: 16
Time-interval 120: 18
