-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Execution time: 41 msec
-------------------------------------
Time 1: 4.114383656728894E-10
Time 2: 4.07385239767803E-10
Time 3: 3.9809017923214524E-10
Time 4: 4.121243682816525E-10
Time 5: 4.080090525349802E-10
Time 6: 4.067896238390359E-10
Time 7: 4.0777568958856005E-10
Time 8: 4.038992587419116E-10
Time 9: 4.044908504385586E-10
Time 10: 4.201670175223803E-10
Time 11: 4.1921851938159207E-10
Time 12: 4.208520178057137E-10
Time 13: 4.141685209904526E-10
Time 14: 4.1665047266202285E-10
Time 15: 4.172166005661743E-10
Time 16: 4.046962262366742E-10
Time 17: 4.0688107190925037E-10
Time 18: 4.252849254692761E-10
Time 19: 4.2609688160007327E-10
Time 20: 4.146643744877723E-10
Time 21: 4.153264539423749E-10
Time 22: 4.091362159923566E-10
Time 23: 4.2429236256317315E-10
Time 24: 4.2072021895545035E-10
Time 25: 4.2339235805296644E-10
Time 26: 4.1437776288876334E-10
Time 27: 4.1693749657581284E-10
Time 28: 4.1770973645164015E-10
Time 29: 4.258323337724884E-10
Time 30: 4.099438618808566E-10
Time 31: 4.126119074125469E-10
Time 32: 3.9649508043969393E-10
Time 33: 4.0508622508164674E-10
Time 34: 4.0626649509650637E-10
Time 35: 4.1991556190718376E-10
Time 36: 4.1560660589013753E-10
Time 37: 4.2019885330157225E-10
Time 38: 4.292493602928931E-10
Time 39: 4.175160683136544E-10
Time 40: 4.2967486393174596E-10
Time 41: 4.207962153685988E-10
Time 42: 4.1635136940031785E-10
Time 43: 4.2270027226308645E-10
Time 44: 4.122081515019657E-10
Time 45: 4.2059424327921326E-10
Time 46: 4.327358324369691E-10
Time 47: 4.2807718172871477E-10
Time 48: 4.074590818833148E-10
Time 49: 4.3042127530474005E-10
Time 50: 4.1154728445392317E-10
Time 51: 3.966732072609075E-10
Time 52: 4.213883990054279E-10
Time 53: 4.326384453086135E-10
Time 54: 4.131031093319445E-10
Time 55: 4.378629335211475E-10
Time 56: 4.2469506971671535E-10
Time 57: 4.241845094967735E-10
Time 58: 4.296790547937037E-10
Time 59: 4.3457226996865116E-10
Time 60: 4.3301751835894675E-10
Time 61: 4.2092237201863243E-10
Time 62: 4.3293866651759834E-10
Time 63: 4.2258301537315766E-10
Time 64: 4.259665173453065E-10
Time 65: 4.3122630286129015E-10
Time 66: 4.3005687902451337E-10
Time 67: 4.296705511104914E-10
Time 68: 4.3168030297081425E-10
Time 69: 4.3899330082316886E-10
Time 70: 4.241238621091484E-10
Time 71: 4.392310067392595E-10
Time 72: 4.4226795811087605E-10
Time 73: 4.293192302807789E-10
Time 74: 4.2587166733854994E-10
Time 75: 4.224310075819839E-10
Time 76: 4.431345022910352E-10
Time 77: 4.2748991834060713E-10
Time 78: 4.369566550475741E-10
Time 79: 4.338422669919036E-10
Time 80: 4.277086008445614E-10
Time 81: 3.997313279965984E-10
Time 82: 4.1808449567743495E-10
Time 83: 4.3856599661111225E-10
Time 84: 4.303193664961212E-10
Time 85: 4.2646302767051784E-10
Time 86: 4.349317269065274E-10
Time 87: 4.2269754367413155E-10
Time 88: 4.273804543088696E-10
Time 89: 4.388926199013162E-10
Time 90: 4.1379634557346194E-10
Time 91: 4.1242777713215585E-10
Time 92: 4.4009236058705416E-10
Time 93: 4.396921351199621E-10
Time 94: 4.2250837697844813E-10
Time 95: 4.318570764863291E-10
Time 96: 4.385594920534998E-10
Time 97: 4.387320676701911E-10
Time 98: 4.453853092921517E-10
Time 99: 4.303221464051639E-10
Time 100: 3.956070911861032E-10
Time 101: 4.3928412000820833E-10
Time 102: 4.126659525535712E-10
Time 103: 4.4134698874179094E-10
Time 104: 4.3661931331608003E-10
Time 105: 4.381800249589463E-10
Time 106: 4.3386152204816525E-10
Time 107: 4.404077676403779E-10
Time 108: 4.442901878905982E-10
Time 109: 4.177139525262887E-10
Time 110: 4.34116226652187E-10
Time 111: 4.284867241887412E-10
Time 112: 4.3262302641411766E-10
Time 113: 4.3789927207081245E-10
Time 114: 4.156485317406236E-10
Time 115: 4.38177789160931E-10
Time 116: 4.0194691373584784E-10
Time 117: 4.1288373045130994E-10
Time 118: 4.313292641701429E-10
Time 119: 4.3053584995746716E-10
Time 120: 4.3412172534939486E-10
