-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -31876 msec
-------------------------------------
Time-interval 1: 24
Time-interval 2: 28
Time-interval 3: 22
Time-interval 4: 28
Time-interval 5: 27
Time-interval 6: 25
Time-interval 7: 37
Time-interval 8: 30
Time-interval 9: 22
Time-interval 10: 19
Time-interval 11: 31
Time-interval 12: 21
Time-interval 13: 42
Time-interval 14: 25
Time-interval 15: 20
Time-interval 16: 24
Time-interval 17: 31
Time-interval 18: 31
Time-interval 19: 31
Time-interval 20: 27
Time-interval 21: 27
Time-interval 22: 35
Time-interval 23: 25
Time-interval 24: 34
Time-interval 25: 24
Time-interval 26: 26
Time-interval 27: 22
Time-interval 28: 26
Time-interval 29: 32
Time-interval 30: 31
Time-interval 31: 23
Time-interval 32: 34
Time-interval 33: 34
Time-interval 34: 25
Time-interval 35: 37
Time-interval 36: 32
Time-interval 37: 31
Time-interval 38: 25
Time-interval 39: 34
Time-interval 40: 37
Time-interval 41: 42
Time-interval 42: 22
Time-interval 43: 32
Time-interval 44: 30
Time-interval 45: 26
Time-interval 46: 37
Time-interval 47: 27
Time-interval 48: 46
Time-interval 49: 31
Time-interval 50: 30
Time-interval 51: 29
Time-interval 52: 22
Time-interval 53: 35
Time-interval 54: 33
Time-interval 55: 28
Time-interval 56: 42
Time-interval 57: 37
Time-interval 58: 48
Time-interval 59: 35
Time-interval 60: 36
Time-interval 61: 39
Time-interval 62: 44
Time-interval 63: 35
Time-interval 64: 43
Time-interval 65: 31
Time-interval 66: 36
Time-interval 67: 38
Time-interval 68: 38
Time-interval 69: 32
Time-interval 70: 30
Time-interval 71: 37
Time-interval 72: 44
Time-interval 73: 34
Time-interval 74: 34
Time-interval 75: 40
Time-interval 76: 23
Time-interval 77: 37
Time-interval 78: 39
Time-interval 79: 37
Time-interval 80: 35
Time-interval 81: 37
Time-interval 82: 37
Time-interval 83: 39
Time-interval 84: 40
Time-interval 85: 49
Time-interval 86: 35
Time-interval 87: 45
Time-interval 88: 39
Time-interval 89: 44
Time-interval 90: 44
Time-interval 91: 34
Time-interval 92: 45
Time-interval 93: 53
Time-interval 94: 53
Time-interval 95: 51
Time-interval 96: 42
Time-interval 97: 38
Time-interval 98: 50
Time-interval 99: 42
Time-interval 100: 50
Time-interval 101: 50
Time-interval 102: 50
Time-interval 103: 58
Time-interval 104: 40
Time-interval 105: 33
Time-interval 106: 50
Time-interval 107: 49
Time-interval 108: 42
Time-interval 109: 46
Time-interval 110: 44
Time-interval 111: 46
Time-interval 112: 52
Time-interval 113: 53
Time-interval 114: 51
Time-interval 115: 43
Time-interval 116: 45
Time-interval 117: 45
Time-interval 118: 52
Time-interval 119: 48
Time-interval 120: 55
25532
