-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Evening
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -29352 msec
-------------------------------------
Time-interval 1: 32
Time-interval 2: 23
Time-interval 3: 33
Time-interval 4: 25
Time-interval 5: 32
Time-interval 6: 24
Time-interval 7: 24
Time-interval 8: 26
Time-interval 9: 31
Time-interval 10: 30
Time-interval 11: 25
Time-interval 12: 23
Time-interval 13: 22
Time-interval 14: 27
Time-interval 15: 23
Time-interval 16: 37
Time-interval 17: 33
Time-interval 18: 25
Time-interval 19: 25
Time-interval 20: 24
Time-interval 21: 38
Time-interval 22: 26
Time-interval 23: 24
Time-interval 24: 27
Time-interval 25: 27
Time-interval 26: 31
Time-interval 27: 31
Time-interval 28: 35
Time-interval 29: 30
Time-interval 30: 24
Time-interval 31: 32
Time-interval 32: 32
Time-interval 33: 27
Time-interval 34: 26
Time-interval 35: 28
Time-interval 36: 27
Time-interval 37: 29
Time-interval 38: 17
Time-interval 39: 24
Time-interval 40: 23
Time-interval 41: 28
Time-interval 42: 34
Time-interval 43: 29
Time-interval 44: 32
Time-interval 45: 35
Time-interval 46: 30
Time-interval 47: 31
Time-interval 48: 40
Time-interval 49: 37
Time-interval 50: 28
Time-interval 51: 35
Time-interval 52: 34
Time-interval 53: 31
Time-interval 54: 35
Time-interval 55: 37
Time-interval 56: 40
Time-interval 57: 35
Time-interval 58: 32
Time-interval 59: 40
Time-interval 60: 29
Time-interval 61: 24
Time-interval 62: 34
Time-interval 63: 31
Time-interval 64: 32
Time-interval 65: 27
Time-interval 66: 28
Time-interval 67: 28
Time-interval 68: 36
Time-interval 69: 29
Time-interval 70: 41
Time-interval 71: 34
Time-interval 72: 48
Time-interval 73: 37
Time-interval 74: 31
Time-interval 75: 33
Time-interval 76: 27
Time-interval 77: 35
Time-interval 78: 24
Time-interval 79: 32
Time-interval 80: 42
Time-interval 81: 31
Time-interval 82: 33
Time-interval 83: 41
Time-interval 84: 30
Time-interval 85: 38
Time-interval 86: 33
Time-interval 87: 36
Time-interval 88: 27
Time-interval 89: 30
Time-interval 90: 34
Time-interval 91: 22
Time-interval 92: 30
Time-interval 93: 40
Time-interval 94: 48
Time-interval 95: 42
Time-interval 96: 39
Time-interval 97: 39
Time-interval 98: 34
Time-interval 99: 33
Time-interval 100: 41
Time-interval 101: 39
Time-interval 102: 26
Time-interval 103: 43
Time-interval 104: 37
Time-interval 105: 32
Time-interval 106: 33
Time-interval 107: 50
Time-interval 108: 54
Time-interval 109: 42
Time-interval 110: 38
Time-interval 111: 45
Time-interval 112: 39
Time-interval 113: 40
Time-interval 114: 45
Time-interval 115: 42
Time-interval 116: 39
Time-interval 117: 44
Time-interval 118: 37
Time-interval 119: 32
Time-interval 120: 44
25572
