-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -33309 msec
-------------------------------------
Time-interval 1: 17
Time-interval 2: 23
Time-interval 3: 19
Time-interval 4: 23
Time-interval 5: 19
Time-interval 6: 25
Time-interval 7: 18
Time-interval 8: 15
Time-interval 9: 24
Time-interval 10: 30
Time-interval 11: 24
Time-interval 12: 25
Time-interval 13: 14
Time-interval 14: 25
Time-interval 15: 26
Time-interval 16: 34
Time-interval 17: 26
Time-interval 18: 19
Time-interval 19: 26
Time-interval 20: 21
Time-interval 21: 29
Time-interval 22: 27
Time-interval 23: 24
Time-interval 24: 25
Time-interval 25: 23
Time-interval 26: 23
Time-interval 27: 16
Time-interval 28: 35
Time-interval 29: 13
Time-interval 30: 33
Time-interval 31: 35
Time-interval 32: 28
Time-interval 33: 25
Time-interval 34: 19
Time-interval 35: 33
Time-interval 36: 23
Time-interval 37: 28
Time-interval 38: 29
Time-interval 39: 28
Time-interval 40: 33
Time-interval 41: 26
Time-interval 42: 28
Time-interval 43: 37
Time-interval 44: 24
Time-interval 45: 33
Time-interval 46: 30
Time-interval 47: 28
Time-interval 48: 29
Time-interval 49: 24
Time-interval 50: 30
Time-interval 51: 33
Time-interval 52: 26
Time-interval 53: 41
Time-interval 54: 27
Time-interval 55: 36
Time-interval 56: 36
Time-interval 57: 26
Time-interval 58: 23
Time-interval 59: 31
Time-interval 60: 32
Time-interval 61: 40
Time-interval 62: 30
Time-interval 63: 33
Time-interval 64: 33
Time-interval 65: 31
Time-interval 66: 37
Time-interval 67: 45
Time-interval 68: 46
Time-interval 69: 37
Time-interval 70: 23
Time-interval 71: 44
Time-interval 72: 38
Time-interval 73: 37
Time-interval 74: 36
Time-interval 75: 37
Time-interval 76: 42
Time-interval 77: 23
Time-interval 78: 29
Time-interval 79: 42
Time-interval 80: 44
Time-interval 81: 30
Time-interval 82: 38
Time-interval 83: 38
Time-interval 84: 46
Time-interval 85: 41
Time-interval 86: 36
Time-interval 87: 32
Time-interval 88: 39
Time-interval 89: 46
Time-interval 90: 34
Time-interval 91: 40
Time-interval 92: 48
Time-interval 93: 43
Time-interval 94: 40
Time-interval 95: 48
Time-interval 96: 36
Time-interval 97: 59
Time-interval 98: 49
Time-interval 99: 45
Time-interval 100: 31
Time-interval 101: 35
Time-interval 102: 48
Time-interval 103: 43
Time-interval 104: 42
Time-interval 105: 43
Time-interval 106: 56
Time-interval 107: 47
Time-interval 108: 54
Time-interval 109: 53
Time-interval 110: 43
Time-interval 111: 52
Time-interval 112: 51
Time-interval 113: 50
Time-interval 114: 49
Time-interval 115: 46
Time-interval 116: 45
Time-interval 117: 46
Time-interval 118: 44
Time-interval 119: 48
Time-interval 120: 41
