-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Lunch
Iteration: 2
Look-ahead time: 30.0 sec
Execution time: -22085 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 1
Time-interval 3: 5
Time-interval 4: 2
Time-interval 5: 5
Time-interval 6: 0
Time-interval 7: 2
Time-interval 8: 1
Time-interval 9: 3
Time-interval 10: 1
Time-interval 11: 3
Time-interval 12: 3
Time-interval 13: 1
Time-interval 14: 4
Time-interval 15: 7
Time-interval 16: 1
Time-interval 17: 2
Time-interval 18: 2
Time-interval 19: 2
Time-interval 20: 1
Time-interval 21: 2
Time-interval 22: 1
Time-interval 23: 1
Time-interval 24: 3
Time-interval 25: 2
Time-interval 26: 2
Time-interval 27: 2
Time-interval 28: 2
Time-interval 29: 3
Time-interval 30: 3
Time-interval 31: 7
Time-interval 32: 3
Time-interval 33: 3
Time-interval 34: 6
Time-interval 35: 2
Time-interval 36: 0
Time-interval 37: 3
Time-interval 38: 4
Time-interval 39: 3
Time-interval 40: 2
Time-interval 41: 3
Time-interval 42: 4
Time-interval 43: 1
Time-interval 44: 3
Time-interval 45: 5
Time-interval 46: 3
Time-interval 47: 3
Time-interval 48: 5
Time-interval 49: 5
Time-interval 50: 2
Time-interval 51: 3
Time-interval 52: 2
Time-interval 53: 2
Time-interval 54: 1
Time-interval 55: 4
Time-interval 56: 1
Time-interval 57: 3
Time-interval 58: 4
Time-interval 59: 2
Time-interval 60: 4
Time-interval 61: 1
Time-interval 62: 1
Time-interval 63: 5
Time-interval 64: 2
Time-interval 65: 1
Time-interval 66: 3
Time-interval 67: 3
Time-interval 68: 2
Time-interval 69: 2
Time-interval 70: 4
Time-interval 71: 4
Time-interval 72: 4
Time-interval 73: 2
Time-interval 74: 1
Time-interval 75: 6
Time-interval 76: 2
Time-interval 77: 5
Time-interval 78: 2
Time-interval 79: 2
Time-interval 80: 1
Time-interval 81: 9
Time-interval 82: 5
Time-interval 83: 7
Time-interval 84: 3
Time-interval 85: 1
Time-interval 86: 7
Time-interval 87: 4
Time-interval 88: 7
Time-interval 89: 3
Time-interval 90: 5
Time-interval 91: 7
Time-interval 92: 3
Time-interval 93: 3
Time-interval 94: 7
Time-interval 95: 6
Time-interval 96: 3
Time-interval 97: 4
Time-interval 98: 3
Time-interval 99: 5
Time-interval 100: 1
Time-interval 101: 0
Time-interval 102: 3
Time-interval 103: 1
Time-interval 104: 3
Time-interval 105: 5
Time-interval 106: 3
Time-interval 107: 3
Time-interval 108: 3
Time-interval 109: 5
Time-interval 110: 2
Time-interval 111: 7
Time-interval 112: 3
Time-interval 113: 1
Time-interval 114: 6
Time-interval 115: 2
Time-interval 116: 5
Time-interval 117: 6
Time-interval 118: 4
Time-interval 119: 4
Time-interval 120: 6
