-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Evening
Iteration: 1
Look-ahead time: 30.0 sec
Execution time: -5397 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 1
Time-interval 3: 1
Time-interval 4: 1
Time-interval 5: 0
Time-interval 6: 0
Time-interval 7: 1
Time-interval 8: 1
Time-interval 9: 1
Time-interval 10: 1
Time-interval 11: 0
Time-interval 12: 1
Time-interval 13: 2
Time-interval 14: 0
Time-interval 15: 1
Time-interval 16: 2
Time-interval 17: 1
Time-interval 18: 3
Time-interval 19: 1
Time-interval 20: 2
Time-interval 21: 3
Time-interval 22: 3
Time-interval 23: 1
Time-interval 24: 1
Time-interval 25: 0
Time-interval 26: 1
Time-interval 27: 0
Time-interval 28: 0
Time-interval 29: 0
Time-interval 30: 0
Time-interval 31: 0
Time-interval 32: 1
Time-interval 33: 2
Time-interval 34: 1
Time-interval 35: 3
Time-interval 36: 0
Time-interval 37: 1
Time-interval 38: 0
Time-interval 39: 1
Time-interval 40: 2
Time-interval 41: 0
Time-interval 42: 0
Time-interval 43: 0
Time-interval 44: 3
Time-interval 45: 2
Time-interval 46: 0
Time-interval 47: 0
Time-interval 48: 0
Time-interval 49: 0
Time-interval 50: 1
Time-interval 51: 2
Time-interval 52: 3
Time-interval 53: 0
Time-interval 54: 0
Time-interval 55: 2
Time-interval 56: 0
Time-interval 57: 0
Time-interval 58: 2
Time-interval 59: 1
Time-interval 60: 0
Time-interval 61: 0
Time-interval 62: 0
Time-interval 63: 1
Time-interval 64: 0
Time-interval 65: 2
Time-interval 66: 0
Time-interval 67: 2
Time-interval 68: 2
Time-interval 69: 0
Time-interval 70: 1
Time-interval 71: 1
Time-interval 72: 0
Time-interval 73: 2
Time-interval 74: 0
Time-interval 75: 2
Time-interval 76: 0
Time-interval 77: 0
Time-interval 78: 1
Time-interval 79: 0
Time-interval 80: 0
Time-interval 81: 0
Time-interval 82: 1
Time-interval 83: 0
Time-interval 84: 2
Time-interval 85: 1
Time-interval 86: 0
Time-interval 87: 0
Time-interval 88: 1
Time-interval 89: 0
Time-interval 90: 0
Time-interval 91: 2
Time-interval 92: 5
Time-interval 93: 0
Time-interval 94: 0
Time-interval 95: 1
Time-interval 96: 1
Time-interval 97: 2
Time-interval 98: 1
Time-interval 99: 0
Time-interval 100: 1
Time-interval 101: 1
Time-interval 102: 1
Time-interval 103: 1
Time-interval 104: 1
Time-interval 105: 2
Time-interval 106: 1
Time-interval 107: 3
Time-interval 108: 1
Time-interval 109: 1
Time-interval 110: 1
Time-interval 111: 3
Time-interval 112: 0
Time-interval 113: 2
Time-interval 114: 1
Time-interval 115: 0
Time-interval 116: 1
Time-interval 117: 0
Time-interval 118: 0
Time-interval 119: 0
Time-interval 120: 2
13592
