-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Evening
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -5948 msec
-------------------------------------
Time-interval 1: 2
Time-interval 2: 1
Time-interval 3: 2
Time-interval 4: 4
Time-interval 5: 1
Time-interval 6: 7
Time-interval 7: 3
Time-interval 8: 2
Time-interval 9: 2
Time-interval 10: 5
Time-interval 11: 3
Time-interval 12: 1
Time-interval 13: 1
Time-interval 14: 1
Time-interval 15: 1
Time-interval 16: 5
Time-interval 17: 4
Time-interval 18: 3
Time-interval 19: 6
Time-interval 20: 1
Time-interval 21: 2
Time-interval 22: 4
Time-interval 23: 1
Time-interval 24: 3
Time-interval 25: 5
Time-interval 26: 7
Time-interval 27: 1
Time-interval 28: 1
Time-interval 29: 4
Time-interval 30: 5
Time-interval 31: 1
Time-interval 32: 4
Time-interval 33: 1
Time-interval 34: 7
Time-interval 35: 4
Time-interval 36: 6
Time-interval 37: 6
Time-interval 38: 4
Time-interval 39: 2
Time-interval 40: 2
Time-interval 41: 7
Time-interval 42: 0
Time-interval 43: 6
Time-interval 44: 2
Time-interval 45: 2
Time-interval 46: 1
Time-interval 47: 7
Time-interval 48: 5
Time-interval 49: 4
Time-interval 50: 4
Time-interval 51: 2
Time-interval 52: 1
Time-interval 53: 3
Time-interval 54: 3
Time-interval 55: 7
Time-interval 56: 3
Time-interval 57: 1
Time-interval 58: 1
Time-interval 59: 8
Time-interval 60: 2
Time-interval 61: 4
Time-interval 62: 1
Time-interval 63: 5
Time-interval 64: 3
Time-interval 65: 2
Time-interval 66: 3
Time-interval 67: 5
Time-interval 68: 2
Time-interval 69: 3
Time-interval 70: 4
Time-interval 71: 4
Time-interval 72: 6
Time-interval 73: 3
Time-interval 74: 1
Time-interval 75: 3
Time-interval 76: 7
Time-interval 77: 1
Time-interval 78: 3
Time-interval 79: 7
Time-interval 80: 0
Time-interval 81: 7
Time-interval 82: 4
Time-interval 83: 3
Time-interval 84: 4
Time-interval 85: 1
Time-interval 86: 3
Time-interval 87: 4
Time-interval 88: 2
Time-interval 89: 2
Time-interval 90: 1
Time-interval 91: 3
Time-interval 92: 2
Time-interval 93: 1
Time-interval 94: 3
Time-interval 95: 4
Time-interval 96: 2
Time-interval 97: 7
Time-interval 98: 4
Time-interval 99: 1
Time-interval 100: 8
Time-interval 101: 2
Time-interval 102: 4
Time-interval 103: 2
Time-interval 104: 9
Time-interval 105: 2
Time-interval 106: 3
Time-interval 107: 4
Time-interval 108: 3
Time-interval 109: 5
Time-interval 110: 4
Time-interval 111: 4
Time-interval 112: 3
Time-interval 113: 6
Time-interval 114: 4
Time-interval 115: 4
Time-interval 116: 5
Time-interval 117: 1
Time-interval 118: 5
Time-interval 119: 4
Time-interval 120: 0
