-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -29475 msec
-------------------------------------
Time-interval 1: 6
Time-interval 2: 7
Time-interval 3: 7
Time-interval 4: 9
Time-interval 5: 6
Time-interval 6: 11
Time-interval 7: 7
Time-interval 8: 9
Time-interval 9: 12
Time-interval 10: 12
Time-interval 11: 10
Time-interval 12: 4
Time-interval 13: 10
Time-interval 14: 8
Time-interval 15: 9
Time-interval 16: 8
Time-interval 17: 13
Time-interval 18: 11
Time-interval 19: 9
Time-interval 20: 9
Time-interval 21: 10
Time-interval 22: 11
Time-interval 23: 7
Time-interval 24: 12
Time-interval 25: 10
Time-interval 26: 6
Time-interval 27: 6
Time-interval 28: 11
Time-interval 29: 11
Time-interval 30: 14
Time-interval 31: 20
Time-interval 32: 16
Time-interval 33: 13
Time-interval 34: 17
Time-interval 35: 10
Time-interval 36: 10
Time-interval 37: 19
Time-interval 38: 22
Time-interval 39: 11
Time-interval 40: 13
Time-interval 41: 12
Time-interval 42: 11
Time-interval 43: 14
Time-interval 44: 7
Time-interval 45: 7
Time-interval 46: 20
Time-interval 47: 19
Time-interval 48: 14
Time-interval 49: 10
Time-interval 50: 11
Time-interval 51: 11
Time-interval 52: 6
Time-interval 53: 8
Time-interval 54: 15
Time-interval 55: 14
Time-interval 56: 17
Time-interval 57: 12
Time-interval 58: 16
Time-interval 59: 20
Time-interval 60: 13
Time-interval 61: 10
Time-interval 62: 12
Time-interval 63: 15
Time-interval 64: 18
Time-interval 65: 18
Time-interval 66: 15
Time-interval 67: 16
Time-interval 68: 9
Time-interval 69: 14
Time-interval 70: 23
Time-interval 71: 11
Time-interval 72: 22
Time-interval 73: 26
Time-interval 74: 14
Time-interval 75: 16
Time-interval 76: 13
Time-interval 77: 19
Time-interval 78: 22
Time-interval 79: 14
Time-interval 80: 20
Time-interval 81: 23
Time-interval 82: 18
Time-interval 83: 13
Time-interval 84: 19
Time-interval 85: 22
Time-interval 86: 9
Time-interval 87: 19
Time-interval 88: 16
Time-interval 89: 23
Time-interval 90: 18
Time-interval 91: 20
Time-interval 92: 23
Time-interval 93: 24
Time-interval 94: 24
Time-interval 95: 14
Time-interval 96: 23
Time-interval 97: 14
Time-interval 98: 17
Time-interval 99: 12
Time-interval 100: 22
Time-interval 101: 15
Time-interval 102: 16
Time-interval 103: 26
Time-interval 104: 21
Time-interval 105: 17
Time-interval 106: 24
Time-interval 107: 26
Time-interval 108: 15
Time-interval 109: 19
Time-interval 110: 23
Time-interval 111: 18
Time-interval 112: 20
Time-interval 113: 14
Time-interval 114: 17
Time-interval 115: 17
Time-interval 116: 23
Time-interval 117: 22
Time-interval 118: 25
Time-interval 119: 16
Time-interval 120: 24
