-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Lunch
Iteration: 1
Execution time: 35 msec
-------------------------------------
Time 1: 3.0966295881561963E-10
Time 2: 3.0902161870206533E-10
Time 3: 3.1743120124194306E-10
Time 4: 3.1648709478034E-10
Time 5: 3.1529836172355547E-10
Time 6: 3.200723353963184E-10
Time 7: 3.2432211483745207E-10
Time 8: 3.2192222560329446E-10
Time 9: 3.2171364542941424E-10
Time 10: 3.1525076882634485E-10
Time 11: 3.1524998375963684E-10
Time 12: 3.1248881161896715E-10
Time 13: 3.158408371747245E-10
Time 14: 3.1070787911180135E-10
Time 15: 3.1163510509491735E-10
Time 16: 3.1119793102960546E-10
Time 17: 3.0856385253065843E-10
Time 18: 3.2042287905742125E-10
Time 19: 3.227677058280387E-10
Time 20: 3.2238333356632833E-10
Time 21: 3.322573087573145E-10
Time 22: 3.087853879389815E-10
Time 23: 3.2919382835665995E-10
Time 24: 3.36027317048635E-10
Time 25: 3.3372989360202004E-10
Time 26: 3.277842913133562E-10
Time 27: 3.301356660606133E-10
Time 28: 3.3270963858350504E-10
Time 29: 3.269214085341196E-10
Time 30: 3.2730006125727033E-10
Time 31: 3.216964618688646E-10
Time 32: 3.1692254386440757E-10
Time 33: 3.2088038788709163E-10
Time 34: 3.204172924063454E-10
Time 35: 3.1614985931722184E-10
Time 36: 3.210757049298221E-10
Time 37: 3.275989890885509E-10
Time 38: 3.342007784445973E-10
Time 39: 3.367007803993632E-10
Time 40: 3.381146053452977E-10
Time 41: 3.3968712646493806E-10
Time 42: 3.4306935292368496E-10
Time 43: 3.499875571207931E-10
Time 44: 3.4669287926839926E-10
Time 45: 3.4612681533209053E-10
Time 46: 3.393099578704451E-10
Time 47: 3.472585214776335E-10
Time 48: 3.400667409992443E-10
Time 49: 3.467383047248703E-10
Time 50: 3.4618347804732997E-10
Time 51: 3.437840957965085E-10
Time 52: 3.471448775659448E-10
Time 53: 3.416819415812497E-10
Time 54: 3.420899751771904E-10
Time 55: 3.413641897236725E-10
Time 56: 3.36509381677529E-10
Time 57: 3.4774577458573245E-10
Time 58: 3.4414799977882656E-10
Time 59: 3.4765641228231575E-10
Time 60: 3.4955213914773293E-10
Time 61: 3.471903062287056E-10
Time 62: 3.542691957988684E-10
Time 63: 3.5301267212433894E-10
Time 64: 3.395162367159071E-10
Time 65: 3.6052784434344065E-10
Time 66: 3.57472739914836E-10
Time 67: 3.598240275164625E-10
Time 68: 3.650098507011524E-10
Time 69: 3.6211621289550226E-10
Time 70: 3.648242125168388E-10
Time 71: 3.618702601398247E-10
Time 72: 3.614913136614191E-10
Time 73: 3.619403704661508E-10
Time 74: 3.532839466133727E-10
Time 75: 3.642257234466369E-10
Time 76: 3.541873208889571E-10
Time 77: 3.5357293418932107E-10
Time 78: 3.5540245673173323E-10
Time 79: 3.611719685995343E-10
Time 80: 3.583595382330191E-10
Time 81: 3.5264130534029694E-10
Time 82: 3.606992524445802E-10
Time 83: 3.652137154397371E-10
Time 84: 3.624411675564775E-10
Time 85: 3.6856827323581873E-10
Time 86: 3.7851444121690893E-10
Time 87: 3.7292196590580383E-10
Time 88: 3.828832082974777E-10
Time 89: 3.784054231043991E-10
Time 90: 3.6804373321771767E-10
Time 91: 3.6960059602356695E-10
Time 92: 3.580771098989114E-10
Time 93: 3.741283268809024E-10
Time 94: 3.8006346468775256E-10
Time 95: 3.729205040988088E-10
Time 96: 3.60820781587576E-10
Time 97: 3.5820856984192753E-10
Time 98: 3.59019271539932E-10
Time 99: 3.620324285093705E-10
Time 100: 3.4642994634433597E-10
Time 101: 3.717767936921332E-10
Time 102: 3.7287656614668663E-10
Time 103: 3.7822965924609677E-10
Time 104: 3.798144970622844E-10
Time 105: 3.783213859537749E-10
Time 106: 3.6626375970939706E-10
Time 107: 3.708722216754953E-10
Time 108: 3.7425770286260435E-10
Time 109: 3.759583137179293E-10
Time 110: 3.7373043611481244E-10
Time 111: 3.7523532511673095E-10
Time 112: 3.677169520184559E-10
Time 113: 3.667742671772964E-10
Time 114: 3.709390364609781E-10
Time 115: 3.765225088399356E-10
Time 116: 3.797308286199664E-10
Time 117: 3.715808276277134E-10
Time 118: 3.808092805935114E-10
Time 119: 3.669225055767263E-10
Time 120: 3.612684871558242E-10
