-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: High
Daytime: Lunch
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -17287 msec
-------------------------------------
Time-interval 1: 11
Time-interval 2: 14
Time-interval 3: 9
Time-interval 4: 11
Time-interval 5: 14
Time-interval 6: 20
Time-interval 7: 14
Time-interval 8: 8
Time-interval 9: 11
Time-interval 10: 21
Time-interval 11: 18
Time-interval 12: 12
Time-interval 13: 17
Time-interval 14: 12
Time-interval 15: 20
Time-interval 16: 21
Time-interval 17: 19
Time-interval 18: 18
Time-interval 19: 17
Time-interval 20: 13
Time-interval 21: 15
Time-interval 22: 19
Time-interval 23: 15
Time-interval 24: 21
Time-interval 25: 19
Time-interval 26: 22
Time-interval 27: 19
Time-interval 28: 21
Time-interval 29: 27
Time-interval 30: 12
Time-interval 31: 21
Time-interval 32: 22
Time-interval 33: 14
Time-interval 34: 17
Time-interval 35: 11
Time-interval 36: 24
Time-interval 37: 22
Time-interval 38: 22
Time-interval 39: 22
Time-interval 40: 17
Time-interval 41: 24
Time-interval 42: 17
Time-interval 43: 10
Time-interval 44: 17
Time-interval 45: 19
Time-interval 46: 30
Time-interval 47: 21
Time-interval 48: 22
Time-interval 49: 22
Time-interval 50: 21
Time-interval 51: 19
Time-interval 52: 16
Time-interval 53: 20
Time-interval 54: 24
Time-interval 55: 24
Time-interval 56: 20
Time-interval 57: 14
Time-interval 58: 35
Time-interval 59: 23
Time-interval 60: 29
Time-interval 61: 15
Time-interval 62: 33
Time-interval 63: 27
Time-interval 64: 32
Time-interval 65: 30
Time-interval 66: 33
Time-interval 67: 23
Time-interval 68: 21
Time-interval 69: 25
Time-interval 70: 27
Time-interval 71: 26
Time-interval 72: 23
Time-interval 73: 25
Time-interval 74: 27
Time-interval 75: 21
Time-interval 76: 36
Time-interval 77: 23
Time-interval 78: 34
Time-interval 79: 25
Time-interval 80: 31
Time-interval 81: 32
Time-interval 82: 27
Time-interval 83: 23
Time-interval 84: 28
Time-interval 85: 26
Time-interval 86: 31
Time-interval 87: 42
Time-interval 88: 31
Time-interval 89: 27
Time-interval 90: 36
Time-interval 91: 23
Time-interval 92: 27
Time-interval 93: 29
Time-interval 94: 29
Time-interval 95: 28
Time-interval 96: 43
Time-interval 97: 34
Time-interval 98: 42
Time-interval 99: 39
Time-interval 100: 39
Time-interval 101: 37
Time-interval 102: 46
Time-interval 103: 44
Time-interval 104: 39
Time-interval 105: 49
Time-interval 106: 45
Time-interval 107: 37
Time-interval 108: 45
Time-interval 109: 42
Time-interval 110: 42
Time-interval 111: 26
Time-interval 112: 56
Time-interval 113: 35
Time-interval 114: 44
Time-interval 115: 42
Time-interval 116: 38
Time-interval 117: 52
Time-interval 118: 39
Time-interval 119: 43
Time-interval 120: 42
21716
