-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Lunch
Iteration: 1
Look-ahead time: 30.0 sec
Execution time: -14622 msec
-------------------------------------
Time-interval 1: 0
Time-interval 2: 2
Time-interval 3: 2
Time-interval 4: 2
Time-interval 5: 1
Time-interval 6: 2
Time-interval 7: 1
Time-interval 8: 4
Time-interval 9: 0
Time-interval 10: 2
Time-interval 11: 4
Time-interval 12: 0
Time-interval 13: 0
Time-interval 14: 1
Time-interval 15: 1
Time-interval 16: 2
Time-interval 17: 1
Time-interval 18: 0
Time-interval 19: 1
Time-interval 20: 2
Time-interval 21: 2
Time-interval 22: 3
Time-interval 23: 0
Time-interval 24: 3
Time-interval 25: 0
Time-interval 26: 2
Time-interval 27: 3
Time-interval 28: 6
Time-interval 29: 4
Time-interval 30: 3
Time-interval 31: 4
Time-interval 32: 6
Time-interval 33: 1
Time-interval 34: 6
Time-interval 35: 3
Time-interval 36: 4
Time-interval 37: 1
Time-interval 38: 0
Time-interval 39: 0
Time-interval 40: 2
Time-interval 41: 2
Time-interval 42: 5
Time-interval 43: 1
Time-interval 44: 3
Time-interval 45: 2
Time-interval 46: 3
Time-interval 47: 4
Time-interval 48: 3
Time-interval 49: 3
Time-interval 50: 1
Time-interval 51: 4
Time-interval 52: 1
Time-interval 53: 4
Time-interval 54: 3
Time-interval 55: 2
Time-interval 56: 2
Time-interval 57: 2
Time-interval 58: 3
Time-interval 59: 2
Time-interval 60: 2
Time-interval 61: 3
Time-interval 62: 5
Time-interval 63: 2
Time-interval 64: 4
Time-interval 65: 1
Time-interval 66: 5
Time-interval 67: 2
Time-interval 68: 1
Time-interval 69: 2
Time-interval 70: 3
Time-interval 71: 4
Time-interval 72: 1
Time-interval 73: 2
Time-interval 74: 3
Time-interval 75: 3
Time-interval 76: 4
Time-interval 77: 3
Time-interval 78: 4
Time-interval 79: 4
Time-interval 80: 1
Time-interval 81: 7
Time-interval 82: 5
Time-interval 83: 1
Time-interval 84: 6
Time-interval 85: 5
Time-interval 86: 1
Time-interval 87: 3
Time-interval 88: 1
Time-interval 89: 6
Time-interval 90: 3
Time-interval 91: 4
Time-interval 92: 4
Time-interval 93: 1
Time-interval 94: 3
Time-interval 95: 4
Time-interval 96: 2
Time-interval 97: 3
Time-interval 98: 2
Time-interval 99: 3
Time-interval 100: 7
Time-interval 101: 2
Time-interval 102: 3
Time-interval 103: 3
Time-interval 104: 4
Time-interval 105: 3
Time-interval 106: 5
Time-interval 107: 7
Time-interval 108: 2
Time-interval 109: 7
Time-interval 110: 7
Time-interval 111: 10
Time-interval 112: 4
Time-interval 113: 5
Time-interval 114: 7
Time-interval 115: 9
Time-interval 116: 6
Time-interval 117: 4
Time-interval 118: 8
Time-interval 119: 9
Time-interval 120: 30
18066
