-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Lunch
Iteration: 2
Look-ahead time: 300.0 sec
Execution time: -11327 msec
-------------------------------------
Time-interval 1: 3
Time-interval 2: 6
Time-interval 3: 3
Time-interval 4: 7
Time-interval 5: 3
Time-interval 6: 8
Time-interval 7: 6
Time-interval 8: 7
Time-interval 9: 5
Time-interval 10: 5
Time-interval 11: 5
Time-interval 12: 7
Time-interval 13: 3
Time-interval 14: 6
Time-interval 15: 4
Time-interval 16: 2
Time-interval 17: 5
Time-interval 18: 6
Time-interval 19: 6
Time-interval 20: 9
Time-interval 21: 4
Time-interval 22: 3
Time-interval 23: 3
Time-interval 24: 12
Time-interval 25: 7
Time-interval 26: 4
Time-interval 27: 1
Time-interval 28: 4
Time-interval 29: 4
Time-interval 30: 5
Time-interval 31: 9
Time-interval 32: 6
Time-interval 33: 5
Time-interval 34: 8
Time-interval 35: 3
Time-interval 36: 11
Time-interval 37: 8
Time-interval 38: 9
Time-interval 39: 8
Time-interval 40: 0
Time-interval 41: 3
Time-interval 42: 3
Time-interval 43: 4
Time-interval 44: 2
Time-interval 45: 6
Time-interval 46: 6
Time-interval 47: 5
Time-interval 48: 3
Time-interval 49: 2
Time-interval 50: 4
Time-interval 51: 6
Time-interval 52: 4
Time-interval 53: 5
Time-interval 54: 5
Time-interval 55: 7
Time-interval 56: 7
Time-interval 57: 5
Time-interval 58: 6
Time-interval 59: 4
Time-interval 60: 9
Time-interval 61: 5
Time-interval 62: 3
Time-interval 63: 3
Time-interval 64: 5
Time-interval 65: 6
Time-interval 66: 4
Time-interval 67: 6
Time-interval 68: 5
Time-interval 69: 5
Time-interval 70: 8
Time-interval 71: 3
Time-interval 72: 8
Time-interval 73: 8
Time-interval 74: 8
Time-interval 75: 2
Time-interval 76: 7
Time-interval 77: 6
Time-interval 78: 6
Time-interval 79: 7
Time-interval 80: 8
Time-interval 81: 3
Time-interval 82: 4
Time-interval 83: 7
Time-interval 84: 4
Time-interval 85: 7
Time-interval 86: 4
Time-interval 87: 5
Time-interval 88: 4
Time-interval 89: 9
Time-interval 90: 4
Time-interval 91: 6
Time-interval 92: 11
Time-interval 93: 5
Time-interval 94: 5
Time-interval 95: 4
Time-interval 96: 9
Time-interval 97: 4
Time-interval 98: 3
Time-interval 99: 6
Time-interval 100: 11
Time-interval 101: 5
Time-interval 102: 4
Time-interval 103: 3
Time-interval 104: 8
Time-interval 105: 4
Time-interval 106: 8
Time-interval 107: 9
Time-interval 108: 6
Time-interval 109: 6
Time-interval 110: 5
Time-interval 111: 6
Time-interval 112: 9
Time-interval 113: 5
Time-interval 114: 5
Time-interval 115: 11
Time-interval 116: 6
Time-interval 117: 10
Time-interval 118: 9
Time-interval 119: 3
Time-interval 120: 7
18032
