-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Lunch
Iteration: 2
Look-ahead time: 60.0 sec
Execution time: -14890 msec
-------------------------------------
Time-interval 1: 0
Time-interval 2: 3
Time-interval 3: 2
Time-interval 4: 2
Time-interval 5: 5
Time-interval 6: 3
Time-interval 7: 3
Time-interval 8: 4
Time-interval 9: 3
Time-interval 10: 2
Time-interval 11: 2
Time-interval 12: 0
Time-interval 13: 4
Time-interval 14: 3
Time-interval 15: 4
Time-interval 16: 1
Time-interval 17: 1
Time-interval 18: 6
Time-interval 19: 5
Time-interval 20: 3
Time-interval 21: 4
Time-interval 22: 7
Time-interval 23: 4
Time-interval 24: 5
Time-interval 25: 5
Time-interval 26: 8
Time-interval 27: 2
Time-interval 28: 6
Time-interval 29: 2
Time-interval 30: 5
Time-interval 31: 3
Time-interval 32: 5
Time-interval 33: 2
Time-interval 34: 7
Time-interval 35: 7
Time-interval 36: 9
Time-interval 37: 8
Time-interval 38: 3
Time-interval 39: 11
Time-interval 40: 3
Time-interval 41: 3
Time-interval 42: 9
Time-interval 43: 6
Time-interval 44: 3
Time-interval 45: 6
Time-interval 46: 8
Time-interval 47: 4
Time-interval 48: 11
Time-interval 49: 5
Time-interval 50: 11
Time-interval 51: 6
Time-interval 52: 9
Time-interval 53: 7
Time-interval 54: 8
Time-interval 55: 5
Time-interval 56: 5
Time-interval 57: 9
Time-interval 58: 9
Time-interval 59: 3
Time-interval 60: 13
Time-interval 61: 6
Time-interval 62: 8
Time-interval 63: 15
Time-interval 64: 11
Time-interval 65: 4
Time-interval 66: 6
Time-interval 67: 16
Time-interval 68: 10
Time-interval 69: 10
Time-interval 70: 8
Time-interval 71: 4
Time-interval 72: 5
Time-interval 73: 11
Time-interval 74: 17
Time-interval 75: 13
Time-interval 76: 10
Time-interval 77: 14
Time-interval 78: 12
Time-interval 79: 16
Time-interval 80: 15
Time-interval 81: 17
Time-interval 82: 16
Time-interval 83: 7
Time-interval 84: 12
Time-interval 85: 7
Time-interval 86: 19
Time-interval 87: 16
Time-interval 88: 22
Time-interval 89: 16
Time-interval 90: 10
Time-interval 91: 7
Time-interval 92: 13
Time-interval 93: 19
Time-interval 94: 17
Time-interval 95: 16
Time-interval 96: 13
Time-interval 97: 8
Time-interval 98: 11
Time-interval 99: 13
Time-interval 100: 16
Time-interval 101: 23
Time-interval 102: 14
Time-interval 103: 15
Time-interval 104: 18
Time-interval 105: 12
Time-interval 106: 16
Time-interval 107: 9
Time-interval 108: 22
Time-interval 109: 9
Time-interval 110: 15
Time-interval 111: 12
Time-interval 112: 14
Time-interval 113: 25
Time-interval 114: 21
Time-interval 115: 17
Time-interval 116: 22
Time-interval 117: 18
Time-interval 118: 19
Time-interval 119: 18
Time-interval 120: 17
