-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Lunch
Iteration: 1
Look-ahead time: 45.0 sec
Execution time: -11228 msec
-------------------------------------
Time-interval 1: 0
Time-interval 2: 5
Time-interval 3: 2
Time-interval 4: 3
Time-interval 5: 3
Time-interval 6: 3
Time-interval 7: 3
Time-interval 8: 0
Time-interval 9: 5
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 3
Time-interval 13: 0
Time-interval 14: 3
Time-interval 15: 3
Time-interval 16: 2
Time-interval 17: 6
Time-interval 18: 0
Time-interval 19: 0
Time-interval 20: 2
Time-interval 21: 3
Time-interval 22: 1
Time-interval 23: 1
Time-interval 24: 2
Time-interval 25: 7
Time-interval 26: 3
Time-interval 27: 2
Time-interval 28: 2
Time-interval 29: 4
Time-interval 30: 1
Time-interval 31: 5
Time-interval 32: 6
Time-interval 33: 2
Time-interval 34: 5
Time-interval 35: 3
Time-interval 36: 3
Time-interval 37: 4
Time-interval 38: 5
Time-interval 39: 2
Time-interval 40: 7
Time-interval 41: 5
Time-interval 42: 3
Time-interval 43: 6
Time-interval 44: 1
Time-interval 45: 5
Time-interval 46: 5
Time-interval 47: 5
Time-interval 48: 5
Time-interval 49: 5
Time-interval 50: 6
Time-interval 51: 5
Time-interval 52: 10
Time-interval 53: 6
Time-interval 54: 3
Time-interval 55: 4
Time-interval 56: 2
Time-interval 57: 4
Time-interval 58: 4
Time-interval 59: 4
Time-interval 60: 6
Time-interval 61: 3
Time-interval 62: 5
Time-interval 63: 5
Time-interval 64: 2
Time-interval 65: 5
Time-interval 66: 5
Time-interval 67: 9
Time-interval 68: 5
Time-interval 69: 8
Time-interval 70: 5
Time-interval 71: 4
Time-interval 72: 1
Time-interval 73: 4
Time-interval 74: 5
Time-interval 75: 6
Time-interval 76: 2
Time-interval 77: 11
Time-interval 78: 6
Time-interval 79: 3
Time-interval 80: 5
Time-interval 81: 8
Time-interval 82: 2
Time-interval 83: 7
Time-interval 84: 4
Time-interval 85: 7
Time-interval 86: 8
Time-interval 87: 7
Time-interval 88: 6
Time-interval 89: 9
Time-interval 90: 9
Time-interval 91: 9
Time-interval 92: 8
Time-interval 93: 6
Time-interval 94: 3
Time-interval 95: 5
Time-interval 96: 8
Time-interval 97: 5
Time-interval 98: 8
Time-interval 99: 9
Time-interval 100: 8
Time-interval 101: 7
Time-interval 102: 3
Time-interval 103: 7
Time-interval 104: 14
Time-interval 105: 8
Time-interval 106: 6
Time-interval 107: 12
Time-interval 108: 9
Time-interval 109: 8
Time-interval 110: 8
Time-interval 111: 8
Time-interval 112: 12
Time-interval 113: 8
Time-interval 114: 5
Time-interval 115: 8
Time-interval 116: 7
Time-interval 117: 7
Time-interval 118: 4
Time-interval 119: 10
Time-interval 120: 8
18090
