-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Lunch
Iteration: 2
Execution time: 26 msec
-------------------------------------
Time 1: 2.430840971772061E-10
Time 2: 2.430042945583751E-10
Time 3: 2.485366616427459E-10
Time 4: 2.436384225496094E-10
Time 5: 2.4692252167454683E-10
Time 6: 2.475075012995262E-10
Time 7: 2.3993965332109117E-10
Time 8: 2.3574845595960787E-10
Time 9: 2.306643045018427E-10
Time 10: 2.3271771612258555E-10
Time 11: 2.441787227328472E-10
Time 12: 2.274089063559646E-10
Time 13: 2.3551066829233503E-10
Time 14: 2.353681426105026E-10
Time 15: 2.3139542245424298E-10
Time 16: 2.36384806859256E-10
Time 17: 2.3703896576017136E-10
Time 18: 2.38276839942287E-10
Time 19: 2.4400434273709767E-10
Time 20: 2.4673316740122965E-10
Time 21: 2.4475717533461164E-10
Time 22: 2.3442590671702506E-10
Time 23: 2.2640102651389534E-10
Time 24: 2.2647379959959973E-10
Time 25: 2.4166486797540597E-10
Time 26: 2.4936216112191955E-10
Time 27: 2.525801823747327E-10
Time 28: 2.484394336718015E-10
Time 29: 2.357532467615267E-10
Time 30: 2.3799208867394813E-10
Time 31: 2.450528146809813E-10
Time 32: 2.5079065117512506E-10
Time 33: 2.495117197067494E-10
Time 34: 2.5077562700870693E-10
Time 35: 2.576385549275563E-10
Time 36: 2.563458514683197E-10
Time 37: 2.5240199706035354E-10
Time 38: 2.4904582308180476E-10
Time 39: 2.5787900796853487E-10
Time 40: 2.5338396233800074E-10
Time 41: 2.59712726761127E-10
Time 42: 2.5660336459067275E-10
Time 43: 2.516186111036032E-10
Time 44: 2.555418510462307E-10
Time 45: 2.4484920349260164E-10
Time 46: 2.437258152275076E-10
Time 47: 2.369219508081661E-10
Time 48: 2.2787834761587474E-10
Time 49: 2.2501466920070029E-10
Time 50: 2.2437562412796783E-10
Time 51: 2.3258004655365517E-10
Time 52: 2.267176046846428E-10
Time 53: 2.3459762488325567E-10
Time 54: 2.3932860835178483E-10
Time 55: 2.395612668435691E-10
Time 56: 2.4799605240353033E-10
Time 57: 2.5225881640579646E-10
Time 58: 2.634543132422658E-10
Time 59: 2.590837072190633E-10
Time 60: 2.630812766846326E-10
Time 61: 2.5245627750062606E-10
Time 62: 2.564357471403293E-10
Time 63: 2.543596023725313E-10
Time 64: 2.5136008795617716E-10
Time 65: 2.539026228471675E-10
Time 66: 2.4623094228481423E-10
Time 67: 2.484558519416835E-10
Time 68: 2.3969830650517394E-10
Time 69: 2.278989218990333E-10
Time 70: 2.4286865725317853E-10
Time 71: 2.2903290747845198E-10
Time 72: 2.322638444899412E-10
Time 73: 2.304739144994904E-10
Time 74: 2.3970872799643127E-10
Time 75: 2.375959471652283E-10
Time 76: 2.4462161027710883E-10
Time 77: 2.459001685787458E-10
Time 78: 2.4474021614172783E-10
Time 79: 2.5091914643942306E-10
Time 80: 2.530702912646448E-10
Time 81: 2.447207612917661E-10
Time 82: 2.4113109186125897E-10
Time 83: 2.635308759392244E-10
Time 84: 2.594796378667557E-10
Time 85: 2.5382103723787756E-10
Time 86: 2.615145567256139E-10
Time 87: 2.639829340999147E-10
Time 88: 2.349389162753853E-10
Time 89: 2.4727884986494534E-10
Time 90: 2.4147490322052096E-10
Time 91: 2.46847771137378E-10
Time 92: 2.507230779921878E-10
Time 93: 2.480001717630171E-10
Time 94: 2.394972570425353E-10
Time 95: 2.4148467126693996E-10
Time 96: 2.5116458423253753E-10
Time 97: 2.4668583203516006E-10
Time 98: 2.2968478740146144E-10
Time 99: 2.5104164362989984E-10
Time 100: 2.538277669562811E-10
Time 101: 2.538325440529694E-10
Time 102: 2.5605783467298424E-10
Time 103: 2.5199395779177253E-10
Time 104: 2.575300914054425E-10
Time 105: 2.5777931646353444E-10
Time 106: 2.6293657463747886E-10
Time 107: 2.4589348129324964E-10
Time 108: 2.3708946957239635E-10
Time 109: 2.4930520097729157E-10
Time 110: 2.5572253610476577E-10
Time 111: 2.444280476111168E-10
Time 112: 2.491988781376437E-10
Time 113: 2.509426258094677E-10
Time 114: 2.5214720353410015E-10
Time 115: 2.517064077135371E-10
Time 116: 2.4737197089557675E-10
Time 117: 2.5017348142365824E-10
Time 118: 2.6002375787648126E-10
Time 119: 2.56406372991153E-10
Time 120: 2.5434247301009455E-10
