-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Morning
Iteration: 1
Look-ahead time: 45.0 sec
Execution time: -10176 msec
-------------------------------------
Time-interval 1: 2
Time-interval 2: 2
Time-interval 3: 2
Time-interval 4: 2
Time-interval 5: 2
Time-interval 6: 2
Time-interval 7: 2
Time-interval 8: 2
Time-interval 9: 4
Time-interval 10: 1
Time-interval 11: 2
Time-interval 12: 0
Time-interval 13: 5
Time-interval 14: 1
Time-interval 15: 4
Time-interval 16: 3
Time-interval 17: 6
Time-interval 18: 1
Time-interval 19: 1
Time-interval 20: 1
Time-interval 21: 1
Time-interval 22: 1
Time-interval 23: 4
Time-interval 24: 1
Time-interval 25: 1
Time-interval 26: 0
Time-interval 27: 5
Time-interval 28: 2
Time-interval 29: 2
Time-interval 30: 1
Time-interval 31: 2
Time-interval 32: 2
Time-interval 33: 1
Time-interval 34: 2
Time-interval 35: 3
Time-interval 36: 5
Time-interval 37: 1
Time-interval 38: 3
Time-interval 39: 4
Time-interval 40: 0
Time-interval 41: 1
Time-interval 42: 3
Time-interval 43: 1
Time-interval 44: 2
Time-interval 45: 2
Time-interval 46: 3
Time-interval 47: 3
Time-interval 48: 3
Time-interval 49: 1
Time-interval 50: 1
Time-interval 51: 1
Time-interval 52: 5
Time-interval 53: 1
Time-interval 54: 1
Time-interval 55: 0
Time-interval 56: 2
Time-interval 57: 2
Time-interval 58: 2
Time-interval 59: 1
Time-interval 60: 1
Time-interval 61: 1
Time-interval 62: 2
Time-interval 63: 2
Time-interval 64: 5
Time-interval 65: 3
Time-interval 66: 2
Time-interval 67: 1
Time-interval 68: 0
Time-interval 69: 1
Time-interval 70: 3
Time-interval 71: 1
Time-interval 72: 3
Time-interval 73: 1
Time-interval 74: 2
Time-interval 75: 1
Time-interval 76: 4
Time-interval 77: 2
Time-interval 78: 2
Time-interval 79: 3
Time-interval 80: 2
Time-interval 81: 4
Time-interval 82: 3
Time-interval 83: 0
Time-interval 84: 3
Time-interval 85: 5
Time-interval 86: 1
Time-interval 87: 2
Time-interval 88: 0
Time-interval 89: 3
Time-interval 90: 1
Time-interval 91: 1
Time-interval 92: 3
Time-interval 93: 5
Time-interval 94: 0
Time-interval 95: 0
Time-interval 96: 3
Time-interval 97: 1
Time-interval 98: 1
Time-interval 99: 4
Time-interval 100: 1
Time-interval 101: 3
Time-interval 102: 2
Time-interval 103: 3
Time-interval 104: 2
Time-interval 105: 0
Time-interval 106: 3
Time-interval 107: 4
Time-interval 108: 1
Time-interval 109: 3
Time-interval 110: 2
Time-interval 111: 3
Time-interval 112: 3
Time-interval 113: 3
Time-interval 114: 0
Time-interval 115: 4
Time-interval 116: 0
Time-interval 117: 2
Time-interval 118: 1
Time-interval 119: 3
Time-interval 120: 0
17498
