-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Morning
Iteration: 2
Execution time: 55 msec
-------------------------------------
Time 1: 2.2277323758832588E-10
Time 2: 2.2542105269021995E-10
Time 3: 2.2129368244489352E-10
Time 4: 2.129277574544886E-10
Time 5: 2.1660534315724057E-10
Time 6: 2.2608045783192683E-10
Time 7: 2.2652495884823617E-10
Time 8: 2.2291526670209037E-10
Time 9: 2.2369999050243842E-10
Time 10: 2.282686431472222E-10
Time 11: 2.2545411846239142E-10
Time 12: 2.293598852060694E-10
Time 13: 2.3235809711118131E-10
Time 14: 2.341665982584329E-10
Time 15: 2.2955299612882505E-10
Time 16: 2.33400513045611E-10
Time 17: 2.3403752612898174E-10
Time 18: 2.4176577869570497E-10
Time 19: 2.362410641828491E-10
Time 20: 2.259971756927495E-10
Time 21: 2.2924748161703248E-10
Time 22: 2.2110952110046682E-10
Time 23: 2.1366771082116466E-10
Time 24: 2.1568916805105032E-10
Time 25: 2.1910719799997558E-10
Time 26: 2.2144618551097163E-10
Time 27: 2.2380298360665092E-10
Time 28: 2.298416318085981E-10
Time 29: 2.2648871986386072E-10
Time 30: 2.2399051023927506E-10
Time 31: 2.307650140376347E-10
Time 32: 2.3116545627987545E-10
Time 33: 2.2991858195105178E-10
Time 34: 2.2150695695132953E-10
Time 35: 2.3081232442933434E-10
Time 36: 2.2307687171263358E-10
Time 37: 2.3132086950487484E-10
Time 38: 2.3119973065672637E-10
Time 39: 2.2102628492823397E-10
Time 40: 2.2162419793059907E-10
Time 41: 2.2273945670028833E-10
Time 42: 2.2037735010355435E-10
Time 43: 2.2387007413224527E-10
Time 44: 2.1868969884384566E-10
Time 45: 2.2573988931672145E-10
Time 46: 2.332444582913447E-10
Time 47: 2.2838076373913956E-10
Time 48: 2.3253376519523682E-10
Time 49: 2.281047661136847E-10
Time 50: 2.3644881252381647E-10
Time 51: 2.3253958251372828E-10
Time 52: 2.34510697767504E-10
Time 53: 2.3109075538009684E-10
Time 54: 2.2911782222228905E-10
Time 55: 2.3790147987700047E-10
Time 56: 2.36007522546734E-10
Time 57: 2.3668772458717534E-10
Time 58: 2.3908701307233234E-10
Time 59: 2.3858144657961366E-10
Time 60: 2.278645610978485E-10
Time 61: 2.259476372793064E-10
Time 62: 2.2998691301159614E-10
Time 63: 2.1878889652229498E-10
Time 64: 2.2198567685014629E-10
Time 65: 2.286413145277782E-10
Time 66: 2.239507152475403E-10
Time 67: 2.2168952744492202E-10
Time 68: 2.2323694078205032E-10
Time 69: 2.2579549946753308E-10
Time 70: 2.369323368240287E-10
Time 71: 2.344852285777727E-10
Time 72: 2.3084289004317917E-10
Time 73: 2.3792011895578597E-10
Time 74: 2.338582807874644E-10
Time 75: 2.365384478513262E-10
Time 76: 2.349102206161415E-10
Time 77: 2.2848650627737777E-10
Time 78: 2.2103382956656867E-10
Time 79: 2.2238994002840371E-10
Time 80: 2.2265685739279348E-10
Time 81: 2.3257374146511982E-10
Time 82: 2.2259832946183592E-10
Time 83: 2.284581936105131E-10
Time 84: 2.3040145161805453E-10
Time 85: 2.348027544087261E-10
Time 86: 2.2830855361337792E-10
Time 87: 2.3481906492387735E-10
Time 88: 2.3679286038047686E-10
Time 89: 2.4142441355533304E-10
Time 90: 2.4009448724938566E-10
Time 91: 2.4214743635083416E-10
Time 92: 2.34798843767561E-10
Time 93: 2.335722901947668E-10
Time 94: 2.4418635266933824E-10
Time 95: 2.36784896093131E-10
Time 96: 2.391243997768501E-10
Time 97: 2.345889472400991E-10
Time 98: 2.2635757178081428E-10
Time 99: 2.3172266133252863E-10
Time 100: 2.346645300585375E-10
Time 101: 2.343733645297258E-10
Time 102: 2.2911909040838097E-10
Time 103: 2.3425508147416994E-10
Time 104: 2.361918719144718E-10
Time 105: 2.409511668139715E-10
Time 106: 2.4321671679640133E-10
Time 107: 2.448984397436777E-10
Time 108: 2.338638194703093E-10
Time 109: 2.498017056628125E-10
Time 110: 2.450647895366671E-10
Time 111: 2.4067523041829483E-10
Time 112: 2.3547289918169515E-10
Time 113: 2.346709658181715E-10
Time 114: 2.2913215565377155E-10
Time 115: 2.2903233310327966E-10
Time 116: 2.2999693442247116E-10
Time 117: 2.2077058749335865E-10
Time 118: 2.28650636048416E-10
Time 119: 2.2489605163583086E-10
Time 120: 2.302292144435623E-10
