-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Morning
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -10381 msec
-------------------------------------
Time-interval 1: 8
Time-interval 2: 12
Time-interval 3: 10
Time-interval 4: 12
Time-interval 5: 18
Time-interval 6: 12
Time-interval 7: 11
Time-interval 8: 9
Time-interval 9: 8
Time-interval 10: 8
Time-interval 11: 9
Time-interval 12: 11
Time-interval 13: 11
Time-interval 14: 9
Time-interval 15: 14
Time-interval 16: 5
Time-interval 17: 7
Time-interval 18: 8
Time-interval 19: 8
Time-interval 20: 11
Time-interval 21: 15
Time-interval 22: 18
Time-interval 23: 10
Time-interval 24: 6
Time-interval 25: 15
Time-interval 26: 6
Time-interval 27: 8
Time-interval 28: 12
Time-interval 29: 9
Time-interval 30: 11
Time-interval 31: 7
Time-interval 32: 5
Time-interval 33: 9
Time-interval 34: 19
Time-interval 35: 10
Time-interval 36: 5
Time-interval 37: 9
Time-interval 38: 15
Time-interval 39: 13
Time-interval 40: 13
Time-interval 41: 20
Time-interval 42: 12
Time-interval 43: 11
Time-interval 44: 10
Time-interval 45: 9
Time-interval 46: 11
Time-interval 47: 15
Time-interval 48: 12
Time-interval 49: 8
Time-interval 50: 10
Time-interval 51: 11
Time-interval 52: 12
Time-interval 53: 8
Time-interval 54: 13
Time-interval 55: 5
Time-interval 56: 9
Time-interval 57: 14
Time-interval 58: 9
Time-interval 59: 8
Time-interval 60: 11
Time-interval 61: 6
Time-interval 62: 14
Time-interval 63: 7
Time-interval 64: 15
Time-interval 65: 7
Time-interval 66: 19
Time-interval 67: 15
Time-interval 68: 11
Time-interval 69: 13
Time-interval 70: 12
Time-interval 71: 19
Time-interval 72: 7
Time-interval 73: 10
Time-interval 74: 7
Time-interval 75: 7
Time-interval 76: 17
Time-interval 77: 15
Time-interval 78: 10
Time-interval 79: 12
Time-interval 80: 14
Time-interval 81: 18
Time-interval 82: 8
Time-interval 83: 14
Time-interval 84: 10
Time-interval 85: 11
Time-interval 86: 7
Time-interval 87: 9
Time-interval 88: 7
Time-interval 89: 5
Time-interval 90: 15
Time-interval 91: 16
Time-interval 92: 15
Time-interval 93: 19
Time-interval 94: 10
Time-interval 95: 9
Time-interval 96: 13
Time-interval 97: 16
Time-interval 98: 16
Time-interval 99: 12
Time-interval 100: 7
Time-interval 101: 11
Time-interval 102: 9
Time-interval 103: 19
Time-interval 104: 13
Time-interval 105: 18
Time-interval 106: 13
Time-interval 107: 12
Time-interval 108: 13
Time-interval 109: 17
Time-interval 110: 11
Time-interval 111: 18
Time-interval 112: 15
Time-interval 113: 11
Time-interval 114: 10
Time-interval 115: 13
Time-interval 116: 11
Time-interval 117: 13
Time-interval 118: 16
Time-interval 119: 11
Time-interval 120: 9
17595
