-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -38099 msec
-------------------------------------
Time-interval 1: 23
Time-interval 2: 20
Time-interval 3: 10
Time-interval 4: 28
Time-interval 5: 37
Time-interval 6: 27
Time-interval 7: 15
Time-interval 8: 16
Time-interval 9: 24
Time-interval 10: 20
Time-interval 11: 25
Time-interval 12: 25
Time-interval 13: 23
Time-interval 14: 29
Time-interval 15: 22
Time-interval 16: 25
Time-interval 17: 23
Time-interval 18: 20
Time-interval 19: 38
Time-interval 20: 33
Time-interval 21: 29
Time-interval 22: 25
Time-interval 23: 28
Time-interval 24: 33
Time-interval 25: 28
Time-interval 26: 25
Time-interval 27: 32
Time-interval 28: 34
Time-interval 29: 37
Time-interval 30: 37
Time-interval 31: 38
Time-interval 32: 31
Time-interval 33: 32
Time-interval 34: 33
Time-interval 35: 29
Time-interval 36: 26
Time-interval 37: 43
Time-interval 38: 26
Time-interval 39: 27
Time-interval 40: 25
Time-interval 41: 44
Time-interval 42: 37
Time-interval 43: 27
Time-interval 44: 29
Time-interval 45: 22
Time-interval 46: 32
Time-interval 47: 29
Time-interval 48: 46
Time-interval 49: 46
Time-interval 50: 43
Time-interval 51: 46
Time-interval 52: 45
Time-interval 53: 41
Time-interval 54: 36
Time-interval 55: 38
Time-interval 56: 41
Time-interval 57: 35
Time-interval 58: 56
Time-interval 59: 49
Time-interval 60: 37
Time-interval 61: 41
Time-interval 62: 55
Time-interval 63: 44
Time-interval 64: 44
Time-interval 65: 48
Time-interval 66: 39
Time-interval 67: 41
Time-interval 68: 56
Time-interval 69: 46
Time-interval 70: 44
Time-interval 71: 39
Time-interval 72: 50
Time-interval 73: 51
Time-interval 74: 59
Time-interval 75: 46
Time-interval 76: 42
Time-interval 77: 51
Time-interval 78: 51
Time-interval 79: 48
Time-interval 80: 52
Time-interval 81: 47
Time-interval 82: 61
Time-interval 83: 47
Time-interval 84: 63
Time-interval 85: 56
Time-interval 86: 50
Time-interval 87: 62
Time-interval 88: 52
Time-interval 89: 57
Time-interval 90: 66
Time-interval 91: 68
Time-interval 92: 61
Time-interval 93: 54
Time-interval 94: 56
Time-interval 95: 50
Time-interval 96: 65
Time-interval 97: 53
Time-interval 98: 62
Time-interval 99: 62
Time-interval 100: 74
Time-interval 101: 67
Time-interval 102: 68
Time-interval 103: 47
Time-interval 104: 75
Time-interval 105: 80
Time-interval 106: 77
Time-interval 107: 70
Time-interval 108: 80
Time-interval 109: 78
Time-interval 110: 77
Time-interval 111: 58
Time-interval 112: 76
Time-interval 113: 65
Time-interval 114: 80
Time-interval 115: 90
Time-interval 116: 69
Time-interval 117: 69
Time-interval 118: 67
Time-interval 119: 69
Time-interval 120: 66
