-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Lunch
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -28746 msec
-------------------------------------
Time-interval 1: 24
Time-interval 2: 20
Time-interval 3: 8
Time-interval 4: 27
Time-interval 5: 38
Time-interval 6: 25
Time-interval 7: 15
Time-interval 8: 15
Time-interval 9: 24
Time-interval 10: 19
Time-interval 11: 24
Time-interval 12: 25
Time-interval 13: 22
Time-interval 14: 29
Time-interval 15: 21
Time-interval 16: 26
Time-interval 17: 23
Time-interval 18: 20
Time-interval 19: 35
Time-interval 20: 32
Time-interval 21: 29
Time-interval 22: 24
Time-interval 23: 28
Time-interval 24: 34
Time-interval 25: 28
Time-interval 26: 26
Time-interval 27: 31
Time-interval 28: 34
Time-interval 29: 36
Time-interval 30: 38
Time-interval 31: 38
Time-interval 32: 31
Time-interval 33: 31
Time-interval 34: 34
Time-interval 35: 27
Time-interval 36: 26
Time-interval 37: 43
Time-interval 38: 25
Time-interval 39: 27
Time-interval 40: 26
Time-interval 41: 43
Time-interval 42: 38
Time-interval 43: 27
Time-interval 44: 30
Time-interval 45: 23
Time-interval 46: 29
Time-interval 47: 30
Time-interval 48: 45
Time-interval 49: 46
Time-interval 50: 44
Time-interval 51: 46
Time-interval 52: 46
Time-interval 53: 39
Time-interval 54: 35
Time-interval 55: 38
Time-interval 56: 40
Time-interval 57: 35
Time-interval 58: 56
Time-interval 59: 49
Time-interval 60: 36
Time-interval 61: 43
Time-interval 62: 54
Time-interval 63: 44
Time-interval 64: 43
Time-interval 65: 49
Time-interval 66: 38
Time-interval 67: 40
Time-interval 68: 56
Time-interval 69: 46
Time-interval 70: 44
Time-interval 71: 38
Time-interval 72: 49
Time-interval 73: 51
Time-interval 74: 60
Time-interval 75: 44
Time-interval 76: 41
Time-interval 77: 51
Time-interval 78: 51
Time-interval 79: 48
Time-interval 80: 53
Time-interval 81: 47
Time-interval 82: 60
Time-interval 83: 47
Time-interval 84: 61
Time-interval 85: 56
Time-interval 86: 49
Time-interval 87: 59
Time-interval 88: 53
Time-interval 89: 54
Time-interval 90: 66
Time-interval 91: 67
Time-interval 92: 61
Time-interval 93: 54
Time-interval 94: 55
Time-interval 95: 51
Time-interval 96: 64
Time-interval 97: 51
Time-interval 98: 64
Time-interval 99: 63
Time-interval 100: 74
Time-interval 101: 66
Time-interval 102: 69
Time-interval 103: 48
Time-interval 104: 75
Time-interval 105: 81
Time-interval 106: 73
Time-interval 107: 70
Time-interval 108: 78
Time-interval 109: 77
Time-interval 110: 76
Time-interval 111: 58
Time-interval 112: 76
Time-interval 113: 63
Time-interval 114: 78
Time-interval 115: 89
Time-interval 116: 68
Time-interval 117: 68
Time-interval 118: 65
Time-interval 119: 68
Time-interval 120: 61
25606
