-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Lunch
Iteration: 1
Execution time: 107 msec
-------------------------------------
Time 1: 1.8578742993865612E-10
Time 2: 1.9475700260212283E-10
Time 3: 1.8495433166291065E-10
Time 4: 1.876864389623107E-10
Time 5: 1.8446974763219103E-10
Time 6: 1.826984550888642E-10
Time 7: 1.7320323346676717E-10
Time 8: 1.806650836886899E-10
Time 9: 1.64966345082708E-10
Time 10: 1.737898372346357E-10
Time 11: 1.7332497507096924E-10
Time 12: 1.6891549782326355E-10
Time 13: 1.6729678633974009E-10
Time 14: 1.7533835373977002E-10
Time 15: 1.7412410894147775E-10
Time 16: 1.7526544580037663E-10
Time 17: 1.787691214210868E-10
Time 18: 1.7706797683820787E-10
Time 19: 1.672383029287601E-10
Time 20: 1.6857984222248305E-10
Time 21: 1.716618424797473E-10
Time 22: 1.7798477738559337E-10
Time 23: 1.8195303051358334E-10
Time 24: 1.8377489765877918E-10
Time 25: 1.8645076083303776E-10
Time 26: 1.8583878797521932E-10
Time 27: 1.8473793683478067E-10
Time 28: 1.9237452453884756E-10
Time 29: 1.9865693285392031E-10
Time 30: 1.9682755142205957E-10
Time 31: 2.0703276239579056E-10
Time 32: 2.007062840616519E-10
Time 33: 1.9888966169788753E-10
Time 34: 1.9518333006454965E-10
Time 35: 1.785913215492441E-10
Time 36: 1.883443942802142E-10
Time 37: 1.8685536936938342E-10
Time 38: 1.8659713710384943E-10
Time 39: 1.910360269253405E-10
Time 40: 1.9097974717756927E-10
Time 41: 1.9067688241253061E-10
Time 42: 1.959986485193043E-10
Time 43: 1.9126873943591284E-10
Time 44: 1.8905276512102694E-10
Time 45: 1.916375024975952E-10
Time 46: 1.861925552762367E-10
Time 47: 1.9395311622528313E-10
Time 48: 1.892145596672411E-10
Time 49: 1.7810432350402336E-10
Time 50: 1.842178257292844E-10
Time 51: 1.8275384394041786E-10
Time 52: 1.8508613992605848E-10
Time 53: 1.7937041877733346E-10
Time 54: 1.765182500578502E-10
Time 55: 1.7613416560892028E-10
Time 56: 1.7709111414327475E-10
Time 57: 1.7682359702315952E-10
Time 58: 1.8298873810354266E-10
Time 59: 1.886966792689992E-10
Time 60: 1.8283466853287697E-10
Time 61: 1.7309887398792778E-10
Time 62: 1.8184589977213326E-10
Time 63: 1.8175916087750833E-10
Time 64: 1.7738676307050952E-10
Time 65: 1.8520958485173295E-10
Time 66: 1.912590407110069E-10
Time 67: 1.9322863863858738E-10
Time 68: 1.923666200103109E-10
Time 69: 1.947609064635677E-10
Time 70: 1.9398612750974373E-10
Time 71: 2.009764947473181E-10
Time 72: 2.024620777945531E-10
Time 73: 2.0294844928742568E-10
Time 74: 2.0935770267448717E-10
Time 75: 2.0423712472856495E-10
Time 76: 2.0503835626995252E-10
Time 77: 2.0590546424311832E-10
Time 78: 1.9782118528653782E-10
Time 79: 2.0691157442716755E-10
Time 80: 2.065458063869391E-10
Time 81: 1.9263248849960205E-10
Time 82: 1.997219579469702E-10
Time 83: 1.8339411625863363E-10
Time 84: 1.8636838500068055E-10
Time 85: 1.8613959128952275E-10
Time 86: 1.7314431580270361E-10
Time 87: 1.7588838897957135E-10
Time 88: 1.7871988416015182E-10
Time 89: 1.8186051521407698E-10
Time 90: 1.841039326962853E-10
Time 91: 1.8351704453042905E-10
Time 92: 1.866539199843286E-10
Time 93: 1.9114288081981483E-10
Time 94: 1.961453731585299E-10
Time 95: 2.0471941203924955E-10
Time 96: 2.0846303351370117E-10
Time 97: 2.0111046160224117E-10
Time 98: 2.073960718087925E-10
Time 99: 2.076242378060783E-10
Time 100: 2.0410966061489214E-10
Time 101: 2.1348086242813107E-10
Time 102: 2.1352204485712211E-10
Time 103: 2.0718449480833723E-10
Time 104: 2.0939477421081987E-10
Time 105: 2.1474299315676584E-10
Time 106: 2.147675826451619E-10
Time 107: 2.1581783201703597E-10
Time 108: 2.0373576753154068E-10
Time 109: 2.0240892041462594E-10
Time 110: 1.9674938871651282E-10
Time 111: 1.9651901482558774E-10
Time 112: 2.0201547339772367E-10
Time 113: 1.8783591319429121E-10
Time 114: 1.995602945360159E-10
Time 115: 1.9571686376052932E-10
Time 116: 1.8973590371075293E-10
Time 117: 1.932795010311299E-10
Time 118: 1.900934103908839E-10
Time 119: 1.850475083601364E-10
Time 120: 1.937428083224869E-10
