-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Lunch
Iteration: 2
Look-ahead time: 30.0 sec
Execution time: -6401 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 0
Time-interval 3: 0
Time-interval 4: 4
Time-interval 5: 1
Time-interval 6: 0
Time-interval 7: 2
Time-interval 8: 1
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 0
Time-interval 12: 2
Time-interval 13: 3
Time-interval 14: 1
Time-interval 15: 0
Time-interval 16: 0
Time-interval 17: 0
Time-interval 18: 0
Time-interval 19: 2
Time-interval 20: 3
Time-interval 21: 1
Time-interval 22: 3
Time-interval 23: 4
Time-interval 24: 0
Time-interval 25: 1
Time-interval 26: 1
Time-interval 27: 2
Time-interval 28: 2
Time-interval 29: 1
Time-interval 30: 2
Time-interval 31: 1
Time-interval 32: 0
Time-interval 33: 2
Time-interval 34: 2
Time-interval 35: 2
Time-interval 36: 2
Time-interval 37: 0
Time-interval 38: 1
Time-interval 39: 3
Time-interval 40: 0
Time-interval 41: 2
Time-interval 42: 1
Time-interval 43: 3
Time-interval 44: 2
Time-interval 45: 0
Time-interval 46: 0
Time-interval 47: 1
Time-interval 48: 1
Time-interval 49: 2
Time-interval 50: 0
Time-interval 51: 2
Time-interval 52: 2
Time-interval 53: 2
Time-interval 54: 1
Time-interval 55: 2
Time-interval 56: 0
Time-interval 57: 0
Time-interval 58: 1
Time-interval 59: 1
Time-interval 60: 2
Time-interval 61: 3
Time-interval 62: 0
Time-interval 63: 1
Time-interval 64: 4
Time-interval 65: 3
Time-interval 66: 3
Time-interval 67: 7
Time-interval 68: 2
Time-interval 69: 1
Time-interval 70: 1
Time-interval 71: 0
Time-interval 72: 2
Time-interval 73: 0
Time-interval 74: 5
Time-interval 75: 1
Time-interval 76: 2
Time-interval 77: 1
Time-interval 78: 2
Time-interval 79: 1
Time-interval 80: 2
Time-interval 81: 2
Time-interval 82: 2
Time-interval 83: 0
Time-interval 84: 1
Time-interval 85: 2
Time-interval 86: 5
Time-interval 87: 1
Time-interval 88: 2
Time-interval 89: 0
Time-interval 90: 3
Time-interval 91: 1
Time-interval 92: 0
Time-interval 93: 2
Time-interval 94: 3
Time-interval 95: 2
Time-interval 96: 2
Time-interval 97: 0
Time-interval 98: 3
Time-interval 99: 2
Time-interval 100: 2
Time-interval 101: 3
Time-interval 102: 1
Time-interval 103: 1
Time-interval 104: 1
Time-interval 105: 4
Time-interval 106: 1
Time-interval 107: 0
Time-interval 108: 2
Time-interval 109: 2
Time-interval 110: 2
Time-interval 111: 3
Time-interval 112: 1
Time-interval 113: 4
Time-interval 114: 2
Time-interval 115: 3
Time-interval 116: 0
Time-interval 117: 3
Time-interval 118: 4
Time-interval 119: 0
Time-interval 120: 9
13878
