-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -36289 msec
-------------------------------------
Time-interval 1: 11
Time-interval 2: 4
Time-interval 3: 11
Time-interval 4: 8
Time-interval 5: 6
Time-interval 6: 8
Time-interval 7: 11
Time-interval 8: 7
Time-interval 9: 7
Time-interval 10: 9
Time-interval 11: 8
Time-interval 12: 7
Time-interval 13: 7
Time-interval 14: 9
Time-interval 15: 8
Time-interval 16: 7
Time-interval 17: 6
Time-interval 18: 7
Time-interval 19: 9
Time-interval 20: 12
Time-interval 21: 12
Time-interval 22: 17
Time-interval 23: 8
Time-interval 24: 3
Time-interval 25: 10
Time-interval 26: 6
Time-interval 27: 4
Time-interval 28: 6
Time-interval 29: 8
Time-interval 30: 7
Time-interval 31: 6
Time-interval 32: 13
Time-interval 33: 9
Time-interval 34: 12
Time-interval 35: 14
Time-interval 36: 13
Time-interval 37: 7
Time-interval 38: 14
Time-interval 39: 10
Time-interval 40: 13
Time-interval 41: 20
Time-interval 42: 16
Time-interval 43: 19
Time-interval 44: 7
Time-interval 45: 10
Time-interval 46: 13
Time-interval 47: 16
Time-interval 48: 12
Time-interval 49: 12
Time-interval 50: 13
Time-interval 51: 19
Time-interval 52: 7
Time-interval 53: 19
Time-interval 54: 19
Time-interval 55: 10
Time-interval 56: 10
Time-interval 57: 20
Time-interval 58: 27
Time-interval 59: 22
Time-interval 60: 11
Time-interval 61: 21
Time-interval 62: 16
Time-interval 63: 17
Time-interval 64: 17
Time-interval 65: 21
Time-interval 66: 14
Time-interval 67: 12
Time-interval 68: 18
Time-interval 69: 15
Time-interval 70: 25
Time-interval 71: 16
Time-interval 72: 23
Time-interval 73: 15
Time-interval 74: 21
Time-interval 75: 16
Time-interval 76: 15
Time-interval 77: 25
Time-interval 78: 27
Time-interval 79: 22
Time-interval 80: 29
Time-interval 81: 25
Time-interval 82: 19
Time-interval 83: 29
Time-interval 84: 25
Time-interval 85: 20
Time-interval 86: 24
Time-interval 87: 20
Time-interval 88: 28
Time-interval 89: 31
Time-interval 90: 27
Time-interval 91: 32
Time-interval 92: 25
Time-interval 93: 23
Time-interval 94: 31
Time-interval 95: 27
Time-interval 96: 30
Time-interval 97: 26
Time-interval 98: 29
Time-interval 99: 28
Time-interval 100: 30
Time-interval 101: 38
Time-interval 102: 21
Time-interval 103: 27
Time-interval 104: 42
Time-interval 105: 37
Time-interval 106: 26
Time-interval 107: 29
Time-interval 108: 36
Time-interval 109: 29
Time-interval 110: 35
Time-interval 111: 30
Time-interval 112: 26
Time-interval 113: 30
Time-interval 114: 36
Time-interval 115: 41
Time-interval 116: 30
Time-interval 117: 31
Time-interval 118: 32
Time-interval 119: 32
Time-interval 120: 26
