-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -25928 msec
-------------------------------------
Time-interval 1: 9
Time-interval 2: 11
Time-interval 3: 12
Time-interval 4: 6
Time-interval 5: 16
Time-interval 6: 11
Time-interval 7: 8
Time-interval 8: 11
Time-interval 9: 15
Time-interval 10: 15
Time-interval 11: 10
Time-interval 12: 15
Time-interval 13: 9
Time-interval 14: 15
Time-interval 15: 11
Time-interval 16: 7
Time-interval 17: 11
Time-interval 18: 8
Time-interval 19: 9
Time-interval 20: 11
Time-interval 21: 17
Time-interval 22: 13
Time-interval 23: 10
Time-interval 24: 18
Time-interval 25: 19
Time-interval 26: 16
Time-interval 27: 15
Time-interval 28: 13
Time-interval 29: 13
Time-interval 30: 13
Time-interval 31: 17
Time-interval 32: 9
Time-interval 33: 7
Time-interval 34: 11
Time-interval 35: 10
Time-interval 36: 7
Time-interval 37: 8
Time-interval 38: 16
Time-interval 39: 14
Time-interval 40: 11
Time-interval 41: 16
Time-interval 42: 17
Time-interval 43: 22
Time-interval 44: 18
Time-interval 45: 15
Time-interval 46: 13
Time-interval 47: 9
Time-interval 48: 15
Time-interval 49: 19
Time-interval 50: 19
Time-interval 51: 16
Time-interval 52: 11
Time-interval 53: 14
Time-interval 54: 20
Time-interval 55: 11
Time-interval 56: 23
Time-interval 57: 13
Time-interval 58: 13
Time-interval 59: 15
Time-interval 60: 16
Time-interval 61: 16
Time-interval 62: 20
Time-interval 63: 13
Time-interval 64: 10
Time-interval 65: 16
Time-interval 66: 21
Time-interval 67: 16
Time-interval 68: 20
Time-interval 69: 21
Time-interval 70: 23
Time-interval 71: 20
Time-interval 72: 19
Time-interval 73: 22
Time-interval 74: 20
Time-interval 75: 17
Time-interval 76: 21
Time-interval 77: 22
Time-interval 78: 15
Time-interval 79: 30
Time-interval 80: 16
Time-interval 81: 14
Time-interval 82: 23
Time-interval 83: 21
Time-interval 84: 23
Time-interval 85: 15
Time-interval 86: 19
Time-interval 87: 18
Time-interval 88: 18
Time-interval 89: 23
Time-interval 90: 22
Time-interval 91: 19
Time-interval 92: 23
Time-interval 93: 19
Time-interval 94: 24
Time-interval 95: 25
Time-interval 96: 29
Time-interval 97: 21
Time-interval 98: 13
Time-interval 99: 21
Time-interval 100: 21
Time-interval 101: 17
Time-interval 102: 25
Time-interval 103: 33
Time-interval 104: 23
Time-interval 105: 34
Time-interval 106: 27
Time-interval 107: 34
Time-interval 108: 24
Time-interval 109: 26
Time-interval 110: 29
Time-interval 111: 26
Time-interval 112: 29
Time-interval 113: 28
Time-interval 114: 37
Time-interval 115: 24
Time-interval 116: 27
Time-interval 117: 29
Time-interval 118: 32
Time-interval 119: 17
Time-interval 120: 13
25330
