-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -30421 msec
-------------------------------------
Time-interval 1: 20
Time-interval 2: 16
Time-interval 3: 18
Time-interval 4: 23
Time-interval 5: 20
Time-interval 6: 23
Time-interval 7: 24
Time-interval 8: 38
Time-interval 9: 24
Time-interval 10: 36
Time-interval 11: 17
Time-interval 12: 21
Time-interval 13: 30
Time-interval 14: 26
Time-interval 15: 18
Time-interval 16: 21
Time-interval 17: 23
Time-interval 18: 21
Time-interval 19: 35
Time-interval 20: 23
Time-interval 21: 34
Time-interval 22: 18
Time-interval 23: 16
Time-interval 24: 18
Time-interval 25: 32
Time-interval 26: 22
Time-interval 27: 24
Time-interval 28: 26
Time-interval 29: 18
Time-interval 30: 26
Time-interval 31: 26
Time-interval 32: 24
Time-interval 33: 32
Time-interval 34: 26
Time-interval 35: 37
Time-interval 36: 32
Time-interval 37: 31
Time-interval 38: 26
Time-interval 39: 27
Time-interval 40: 32
Time-interval 41: 24
Time-interval 42: 19
Time-interval 43: 25
Time-interval 44: 30
Time-interval 45: 34
Time-interval 46: 25
Time-interval 47: 26
Time-interval 48: 20
Time-interval 49: 30
Time-interval 50: 33
Time-interval 51: 22
Time-interval 52: 16
Time-interval 53: 27
Time-interval 54: 35
Time-interval 55: 21
Time-interval 56: 27
Time-interval 57: 26
Time-interval 58: 34
Time-interval 59: 24
Time-interval 60: 37
Time-interval 61: 38
Time-interval 62: 33
Time-interval 63: 49
Time-interval 64: 38
Time-interval 65: 27
Time-interval 66: 37
Time-interval 67: 27
Time-interval 68: 35
Time-interval 69: 36
Time-interval 70: 34
Time-interval 71: 25
Time-interval 72: 34
Time-interval 73: 39
Time-interval 74: 37
Time-interval 75: 26
Time-interval 76: 43
Time-interval 77: 35
Time-interval 78: 29
Time-interval 79: 34
Time-interval 80: 34
Time-interval 81: 43
Time-interval 82: 45
Time-interval 83: 37
Time-interval 84: 28
Time-interval 85: 35
Time-interval 86: 42
Time-interval 87: 31
Time-interval 88: 38
Time-interval 89: 30
Time-interval 90: 50
Time-interval 91: 31
Time-interval 92: 47
Time-interval 93: 46
Time-interval 94: 49
Time-interval 95: 47
Time-interval 96: 37
Time-interval 97: 43
Time-interval 98: 54
Time-interval 99: 39
Time-interval 100: 47
Time-interval 101: 37
Time-interval 102: 50
Time-interval 103: 52
Time-interval 104: 50
Time-interval 105: 47
Time-interval 106: 37
Time-interval 107: 56
Time-interval 108: 44
Time-interval 109: 46
Time-interval 110: 55
Time-interval 111: 59
Time-interval 112: 53
Time-interval 113: 48
Time-interval 114: 54
Time-interval 115: 37
Time-interval 116: 46
Time-interval 117: 51
Time-interval 118: 51
Time-interval 119: 58
Time-interval 120: 54
