-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: UltraHigh
Daytime: Morning
Iteration: 1
Execution time: 61 msec
-------------------------------------
Time 1: 3.2518904705235605E-10
Time 2: 3.303663906023274E-10
Time 3: 3.1899508318256773E-10
Time 4: 3.267406331584433E-10
Time 5: 3.222458382772484E-10
Time 6: 3.3791653923780445E-10
Time 7: 3.3655275060398845E-10
Time 8: 3.3855088981485006E-10
Time 9: 3.234642102617369E-10
Time 10: 3.3253744133950014E-10
Time 11: 3.36318912009727E-10
Time 12: 3.281314225270136E-10
Time 13: 3.361077225763598E-10
Time 14: 3.298103252790177E-10
Time 15: 3.200985650317542E-10
Time 16: 3.185385119875123E-10
Time 17: 3.252519825245691E-10
Time 18: 3.217448141610399E-10
Time 19: 3.221117588156151E-10
Time 20: 3.281745755490183E-10
Time 21: 3.225031242248153E-10
Time 22: 3.19440790124836E-10
Time 23: 3.2452744694469946E-10
Time 24: 3.2990449002439765E-10
Time 25: 3.1284936110622674E-10
Time 26: 3.1797891865424044E-10
Time 27: 3.270088478605517E-10
Time 28: 3.2739630243978125E-10
Time 29: 3.177848183891684E-10
Time 30: 3.1978772423352063E-10
Time 31: 3.143453914835585E-10
Time 32: 3.236843867304504E-10
Time 33: 3.2959165989076527E-10
Time 34: 3.323225457867322E-10
Time 35: 3.1951572022711077E-10
Time 36: 3.33768542438421E-10
Time 37: 3.272014344024316E-10
Time 38: 3.364123768759456E-10
Time 39: 3.2445800813712806E-10
Time 40: 3.347306253564146E-10
Time 41: 3.3033214204973164E-10
Time 42: 3.290401908028905E-10
Time 43: 3.36869194496569E-10
Time 44: 3.3173500197908524E-10
Time 45: 3.3147302809866E-10
Time 46: 3.2216847500854577E-10
Time 47: 3.368288213353867E-10
Time 48: 3.384594367918635E-10
Time 49: 3.2953533859469144E-10
Time 50: 3.368060277783415E-10
Time 51: 3.38248844690478E-10
Time 52: 3.3983149848860807E-10
Time 53: 3.3647089469989224E-10
Time 54: 3.280941921299896E-10
Time 55: 3.251376064699221E-10
Time 56: 3.376561011005559E-10
Time 57: 3.439697987677766E-10
Time 58: 3.4266401327731726E-10
Time 59: 3.374573723257261E-10
Time 60: 3.4220120845142833E-10
Time 61: 3.387898450345741E-10
Time 62: 3.3804039250416195E-10
Time 63: 3.430021541044591E-10
Time 64: 3.408609289118509E-10
Time 65: 3.337020062217787E-10
Time 66: 3.2903461419002726E-10
Time 67: 3.370399948749055E-10
Time 68: 3.334506048952851E-10
Time 69: 3.3994546127133094E-10
Time 70: 3.4660802442757054E-10
Time 71: 3.44300893300847E-10
Time 72: 3.3473206296366263E-10
Time 73: 3.422017450457684E-10
Time 74: 3.4791313312239963E-10
Time 75: 3.4715917069479324E-10
Time 76: 3.3129486676351935E-10
Time 77: 3.515973186376693E-10
Time 78: 3.5153521520511204E-10
Time 79: 3.392157846547542E-10
Time 80: 3.4307273907678267E-10
Time 81: 3.384596161401696E-10
Time 82: 3.4823078370745495E-10
Time 83: 3.541053688556587E-10
Time 84: 3.4474243316304277E-10
Time 85: 3.493477072895838E-10
Time 86: 3.5059428720996664E-10
Time 87: 3.497891446100094E-10
Time 88: 3.566111989882972E-10
Time 89: 3.701877215178502E-10
Time 90: 3.549151147088381E-10
Time 91: 3.5786969903872693E-10
Time 92: 3.631936347851351E-10
Time 93: 3.5653830967906215E-10
Time 94: 3.51939736127335E-10
Time 95: 3.5599072838798807E-10
Time 96: 3.490585172404856E-10
Time 97: 3.611251027504281E-10
Time 98: 3.619685228377398E-10
Time 99: 3.6566863345164503E-10
Time 100: 3.6137395776074425E-10
Time 101: 3.6209358251938407E-10
Time 102: 3.6614317538890095E-10
Time 103: 3.715056971801833E-10
Time 104: 3.791765792773582E-10
Time 105: 3.67432436182763E-10
Time 106: 3.646640057278206E-10
Time 107: 3.615408909208064E-10
Time 108: 3.7387890267601233E-10
Time 109: 3.720793215667822E-10
Time 110: 3.6219166365917227E-10
Time 111: 3.5476501699573787E-10
Time 112: 3.6476358333749305E-10
Time 113: 3.765729113819413E-10
Time 114: 3.746561831241596E-10
Time 115: 3.5766378802421393E-10
Time 116: 3.6445846750363654E-10
Time 117: 3.629294953322506E-10
Time 118: 3.7197862009977023E-10
Time 119: 3.4664923849555804E-10
Time 120: 3.5331273643540277E-10
