-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 1
Execution time: 34 msec
-------------------------------------
Time 1: 2.2027491168062882E-10
Time 2: 2.2676781118436382E-10
Time 3: 2.369359922148849E-10
Time 4: 2.373856218052389E-10
Time 5: 2.39903449301999E-10
Time 6: 2.4587868351647377E-10
Time 7: 2.459013769473849E-10
Time 8: 2.4292863227303903E-10
Time 9: 2.347885857192256E-10
Time 10: 2.489074018421047E-10
Time 11: 2.465432239511336E-10
Time 12: 2.4602350687534407E-10
Time 13: 2.336687693237982E-10
Time 14: 2.4182014927242785E-10
Time 15: 2.5206348105302056E-10
Time 16: 2.468215919734117E-10
Time 17: 2.3092382237450097E-10
Time 18: 2.323756897875354E-10
Time 19: 2.37282274325744E-10
Time 20: 2.451415195615697E-10
Time 21: 2.444912713290763E-10
Time 22: 2.295696729989142E-10
Time 23: 2.4937056745149313E-10
Time 24: 2.497184886957528E-10
Time 25: 2.5207387014169497E-10
Time 26: 2.3411068699247087E-10
Time 27: 2.400230111773212E-10
Time 28: 2.3446562656426504E-10
Time 29: 2.331594263344226E-10
Time 30: 2.412075441808537E-10
Time 31: 2.3251309757198687E-10
Time 32: 2.4017687085056253E-10
Time 33: 2.2960859838343386E-10
Time 34: 2.42133777470105E-10
Time 35: 2.4724577060894113E-10
Time 36: 2.2704130560710055E-10
Time 37: 2.348117112981869E-10
Time 38: 2.3178050192799317E-10
Time 39: 2.336760493923974E-10
Time 40: 2.349734902462904E-10
Time 41: 2.441084314175674E-10
Time 42: 2.3936269954166736E-10
Time 43: 2.399418521375641E-10
Time 44: 2.449857928205054E-10
Time 45: 2.438338583243666E-10
Time 46: 2.469421779486109E-10
Time 47: 2.4922320885000814E-10
Time 48: 2.415959497851567E-10
Time 49: 2.578611610150945E-10
Time 50: 2.6280388510083983E-10
Time 51: 2.57943205020759E-10
Time 52: 2.5456432376660576E-10
Time 53: 2.531065153147005E-10
Time 54: 2.4296339025621233E-10
Time 55: 2.608757684384222E-10
Time 56: 2.5059258632153606E-10
Time 57: 2.3175046876034472E-10
Time 58: 2.3782469797891245E-10
Time 59: 2.335343745860217E-10
Time 60: 2.3957156802008266E-10
Time 61: 2.382989837043048E-10
Time 62: 2.3534043792667265E-10
Time 63: 2.4120793089486257E-10
Time 64: 2.4581698771411855E-10
Time 65: 2.4769316566819395E-10
Time 66: 2.505831573458322E-10
Time 67: 2.55305918544954E-10
Time 68: 2.438417918820105E-10
Time 69: 2.5231420140354277E-10
Time 70: 2.539226085784053E-10
Time 71: 2.378666470403991E-10
Time 72: 2.562228491105509E-10
Time 73: 2.5387200754384923E-10
Time 74: 2.5357867194234595E-10
Time 75: 2.649005385228414E-10
Time 76: 2.5652271381368916E-10
Time 77: 2.5267700981888345E-10
Time 78: 2.5410499193269605E-10
Time 79: 2.5525752436633653E-10
Time 80: 2.511136595373659E-10
Time 81: 2.5369061138409817E-10
Time 82: 2.3017184225360785E-10
Time 83: 2.3443204230528586E-10
Time 84: 2.4665265697247406E-10
Time 85: 2.380146501488022E-10
Time 86: 2.4052938285312923E-10
Time 87: 2.377329060237325E-10
Time 88: 2.363889725608565E-10
Time 89: 2.4239426201369405E-10
Time 90: 2.4315306974088775E-10
Time 91: 2.387426754658143E-10
Time 92: 2.535234533099618E-10
Time 93: 2.455288847467428E-10
Time 94: 2.4537813158177553E-10
Time 95: 2.5230474410086185E-10
Time 96: 2.5525948822446804E-10
Time 97: 2.4994298049013027E-10
Time 98: 2.5226634552167914E-10
Time 99: 2.508906744447696E-10
Time 100: 2.5876479411200797E-10
Time 101: 2.521384864671661E-10
Time 102: 2.528030461706405E-10
Time 103: 2.473564984057088E-10
Time 104: 2.5430243073619877E-10
Time 105: 2.4567941857123044E-10
Time 106: 2.538696122146277E-10
Time 107: 2.553009113958426E-10
Time 108: 2.5528980758035075E-10
Time 109: 2.467754720307546E-10
Time 110: 2.5193123103640207E-10
Time 111: 2.498386515502613E-10
Time 112: 2.4664063990538754E-10
Time 113: 2.458748335537975E-10
Time 114: 2.6003522054386E-10
Time 115: 2.5471964101918487E-10
Time 116: 2.420301704594529E-10
Time 117: 2.490069472104836E-10
Time 118: 2.5048919073647554E-10
Time 119: 2.575323094966103E-10
Time 120: 2.5145567263789084E-10
