-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -10291 msec
-------------------------------------
Time-interval 1: 10
Time-interval 2: 10
Time-interval 3: 14
Time-interval 4: 7
Time-interval 5: 8
Time-interval 6: 12
Time-interval 7: 14
Time-interval 8: 3
Time-interval 9: 11
Time-interval 10: 8
Time-interval 11: 12
Time-interval 12: 13
Time-interval 13: 16
Time-interval 14: 22
Time-interval 15: 7
Time-interval 16: 9
Time-interval 17: 10
Time-interval 18: 11
Time-interval 19: 10
Time-interval 20: 13
Time-interval 21: 10
Time-interval 22: 7
Time-interval 23: 11
Time-interval 24: 17
Time-interval 25: 14
Time-interval 26: 11
Time-interval 27: 14
Time-interval 28: 10
Time-interval 29: 6
Time-interval 30: 18
Time-interval 31: 13
Time-interval 32: 13
Time-interval 33: 10
Time-interval 34: 11
Time-interval 35: 13
Time-interval 36: 11
Time-interval 37: 19
Time-interval 38: 11
Time-interval 39: 11
Time-interval 40: 14
Time-interval 41: 8
Time-interval 42: 14
Time-interval 43: 14
Time-interval 44: 13
Time-interval 45: 15
Time-interval 46: 13
Time-interval 47: 18
Time-interval 48: 14
Time-interval 49: 15
Time-interval 50: 15
Time-interval 51: 19
Time-interval 52: 16
Time-interval 53: 13
Time-interval 54: 18
Time-interval 55: 17
Time-interval 56: 10
Time-interval 57: 16
Time-interval 58: 14
Time-interval 59: 13
Time-interval 60: 13
Time-interval 61: 14
Time-interval 62: 11
Time-interval 63: 18
Time-interval 64: 16
Time-interval 65: 9
Time-interval 66: 18
Time-interval 67: 22
Time-interval 68: 18
Time-interval 69: 17
Time-interval 70: 11
Time-interval 71: 22
Time-interval 72: 17
Time-interval 73: 10
Time-interval 74: 19
Time-interval 75: 11
Time-interval 76: 12
Time-interval 77: 12
Time-interval 78: 21
Time-interval 79: 13
Time-interval 80: 12
Time-interval 81: 21
Time-interval 82: 15
Time-interval 83: 21
Time-interval 84: 16
Time-interval 85: 21
Time-interval 86: 19
Time-interval 87: 9
Time-interval 88: 15
Time-interval 89: 27
Time-interval 90: 12
Time-interval 91: 18
Time-interval 92: 16
Time-interval 93: 24
Time-interval 94: 19
Time-interval 95: 23
Time-interval 96: 24
Time-interval 97: 24
Time-interval 98: 24
Time-interval 99: 16
Time-interval 100: 23
Time-interval 101: 16
Time-interval 102: 12
Time-interval 103: 26
Time-interval 104: 21
Time-interval 105: 24
Time-interval 106: 26
Time-interval 107: 14
Time-interval 108: 28
Time-interval 109: 13
Time-interval 110: 14
Time-interval 111: 24
Time-interval 112: 22
Time-interval 113: 25
Time-interval 114: 19
Time-interval 115: 18
Time-interval 116: 17
Time-interval 117: 16
Time-interval 118: 24
Time-interval 119: 20
Time-interval 120: 27
18118
