-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: Medium
Daytime: Evening
Iteration: 1
Look-ahead time: 60.0 sec
Execution time: -11436 msec
-------------------------------------
Time-interval 1: 5
Time-interval 2: 2
Time-interval 3: 1
Time-interval 4: 4
Time-interval 5: 2
Time-interval 6: 3
Time-interval 7: 4
Time-interval 8: 5
Time-interval 9: 0
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 3
Time-interval 13: 3
Time-interval 14: 9
Time-interval 15: 5
Time-interval 16: 2
Time-interval 17: 6
Time-interval 18: 7
Time-interval 19: 8
Time-interval 20: 5
Time-interval 21: 5
Time-interval 22: 15
Time-interval 23: 4
Time-interval 24: 12
Time-interval 25: 6
Time-interval 26: 8
Time-interval 27: 6
Time-interval 28: 2
Time-interval 29: 8
Time-interval 30: 3
Time-interval 31: 3
Time-interval 32: 7
Time-interval 33: 2
Time-interval 34: 6
Time-interval 35: 9
Time-interval 36: 11
Time-interval 37: 3
Time-interval 38: 11
Time-interval 39: 6
Time-interval 40: 10
Time-interval 41: 5
Time-interval 42: 7
Time-interval 43: 8
Time-interval 44: 11
Time-interval 45: 7
Time-interval 46: 5
Time-interval 47: 7
Time-interval 48: 5
Time-interval 49: 6
Time-interval 50: 7
Time-interval 51: 12
Time-interval 52: 8
Time-interval 53: 9
Time-interval 54: 9
Time-interval 55: 8
Time-interval 56: 9
Time-interval 57: 6
Time-interval 58: 12
Time-interval 59: 11
Time-interval 60: 6
Time-interval 61: 5
Time-interval 62: 7
Time-interval 63: 8
Time-interval 64: 12
Time-interval 65: 7
Time-interval 66: 6
Time-interval 67: 5
Time-interval 68: 11
Time-interval 69: 12
Time-interval 70: 6
Time-interval 71: 12
Time-interval 72: 13
Time-interval 73: 7
Time-interval 74: 11
Time-interval 75: 7
Time-interval 76: 6
Time-interval 77: 6
Time-interval 78: 9
Time-interval 79: 5
Time-interval 80: 7
Time-interval 81: 12
Time-interval 82: 7
Time-interval 83: 13
Time-interval 84: 10
Time-interval 85: 10
Time-interval 86: 7
Time-interval 87: 12
Time-interval 88: 12
Time-interval 89: 5
Time-interval 90: 10
Time-interval 91: 9
Time-interval 92: 13
Time-interval 93: 7
Time-interval 94: 9
Time-interval 95: 9
Time-interval 96: 12
Time-interval 97: 8
Time-interval 98: 7
Time-interval 99: 10
Time-interval 100: 10
Time-interval 101: 14
Time-interval 102: 13
Time-interval 103: 13
Time-interval 104: 12
Time-interval 105: 15
Time-interval 106: 11
Time-interval 107: 21
Time-interval 108: 10
Time-interval 109: 15
Time-interval 110: 10
Time-interval 111: 9
Time-interval 112: 15
Time-interval 113: 19
Time-interval 114: 12
Time-interval 115: 12
Time-interval 116: 19
Time-interval 117: 11
Time-interval 118: 12
Time-interval 119: 20
Time-interval 120: 15
18208
