-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: Low
Daytime: Morning
Iteration: 2
Execution time: 26 msec
-------------------------------------
Time 1: 1.8338219964491483E-10
Time 2: 1.79857683407597E-10
Time 3: 1.8137673844651237E-10
Time 4: 1.7946211632807027E-10
Time 5: 1.7378518427510268E-10
Time 6: 1.808835695094868E-10
Time 7: 1.70642245352984E-10
Time 8: 1.8203702814188372E-10
Time 9: 1.708425120569781E-10
Time 10: 1.7189750661838163E-10
Time 11: 1.7527464171785697E-10
Time 12: 1.7765135677926257E-10
Time 13: 1.7651526887855379E-10
Time 14: 1.7647801789922696E-10
Time 15: 1.7949116896504367E-10
Time 16: 1.792617582932943E-10
Time 17: 1.744415718577759E-10
Time 18: 1.7491385147799642E-10
Time 19: 1.7425166996127654E-10
Time 20: 1.7084605505936803E-10
Time 21: 1.7847943703804518E-10
Time 22: 1.726026490328667E-10
Time 23: 1.7208488186805185E-10
Time 24: 1.6482420292333577E-10
Time 25: 1.8024584006132079E-10
Time 26: 1.738130096973436E-10
Time 27: 1.6958349949092105E-10
Time 28: 1.74121801251201E-10
Time 29: 1.770187661583386E-10
Time 30: 1.8173197195603504E-10
Time 31: 1.8360352494133835E-10
Time 32: 1.8173309887813633E-10
Time 33: 1.9025159547798067E-10
Time 34: 1.9113127761937808E-10
Time 35: 1.8840219108452408E-10
Time 36: 1.9122073758523408E-10
Time 37: 1.798878722511079E-10
Time 38: 1.8939771376363906E-10
Time 39: 1.8213666568831514E-10
Time 40: 1.817641684334377E-10
Time 41: 1.810544954759984E-10
Time 42: 1.7096614028684E-10
Time 43: 1.7298461947392532E-10
Time 44: 1.743774372912875E-10
Time 45: 1.7322366472708027E-10
Time 46: 1.70099713485966E-10
Time 47: 1.7234394989721825E-10
Time 48: 1.768392419539558E-10
Time 49: 1.7761301193886342E-10
Time 50: 1.8268130968401745E-10
Time 51: 1.7565349076933713E-10
Time 52: 1.8423104127801506E-10
Time 53: 1.8816729012600298E-10
Time 54: 1.890567557890081E-10
Time 55: 1.8303968687556895E-10
Time 56: 1.8959935159636443E-10
Time 57: 1.8708807217595142E-10
Time 58: 1.855865894290767E-10
Time 59: 1.8129191802804536E-10
Time 60: 1.7960366887299112E-10
Time 61: 1.7585124257312483E-10
Time 62: 1.7474795437928946E-10
Time 63: 1.7554979938950045E-10
Time 64: 1.829344942965857E-10
Time 65: 1.7522037273317942E-10
Time 66: 1.7408987864374774E-10
Time 67: 1.7816034319021763E-10
Time 68: 1.7710006690990044E-10
Time 69: 1.7665512961079305E-10
Time 70: 1.7923380173066236E-10
Time 71: 1.7713415672192057E-10
Time 72: 1.923415126676892E-10
Time 73: 1.9669155767829364E-10
Time 74: 1.8287051585057354E-10
Time 75: 1.8680079996311215E-10
Time 76: 1.893628109042038E-10
Time 77: 1.8421662820592918E-10
Time 78: 1.8775423500137063E-10
Time 79: 1.9220470124150493E-10
Time 80: 1.797947458524939E-10
Time 81: 1.8524285644049319E-10
Time 82: 1.8299896254262784E-10
Time 83: 1.7966684732702098E-10
Time 84: 1.735156716935282E-10
Time 85: 1.7906956086232112E-10
Time 86: 1.8338601111614875E-10
Time 87: 1.8497476312241004E-10
Time 88: 1.8272186041567835E-10
Time 89: 1.7639353141155265E-10
Time 90: 1.7700065334916017E-10
Time 91: 1.8349140305794764E-10
Time 92: 1.7982660937304888E-10
Time 93: 1.7407266869885343E-10
Time 94: 1.8136138418708942E-10
Time 95: 1.8657648664947928E-10
Time 96: 1.7860130143532184E-10
Time 97: 1.8448369331305059E-10
Time 98: 1.8425570614484458E-10
Time 99: 1.7189866628939453E-10
Time 100: 1.782892778185008E-10
Time 101: 1.8293835707072445E-10
Time 102: 1.7691856810983216E-10
Time 103: 1.8147442230676497E-10
Time 104: 1.8569858381996173E-10
Time 105: 1.8250864032877228E-10
Time 106: 1.81267386769007E-10
Time 107: 1.849424826409691E-10
Time 108: 1.8599933486692935E-10
Time 109: 1.839607797184711E-10
Time 110: 1.8806797709512522E-10
Time 111: 1.8587181135021118E-10
Time 112: 1.7826918689889374E-10
Time 113: 1.8135599274899622E-10
Time 114: 1.79889019890065E-10
Time 115: 1.8584813206654577E-10
Time 116: 1.8264371828994153E-10
Time 117: 1.8547486569259953E-10
Time 118: 1.8101450671943274E-10
Time 119: 1.8833324942284149E-10
Time 120: 1.8268898348837804E-10
