-------------------------------------
Air Traffic Density Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Evening
Iteration: 1
Execution time: 20 msec
-------------------------------------
Time 1: 1.5762279641019993E-10
Time 2: 1.6336659975710607E-10
Time 3: 1.6410445414604068E-10
Time 4: 1.731614985375421E-10
Time 5: 1.8292604076982776E-10
Time 6: 1.8771781917732386E-10
Time 7: 1.815487409003928E-10
Time 8: 1.8394833442661096E-10
Time 9: 1.8838419623726026E-10
Time 10: 1.862641626221696E-10
Time 11: 1.8428636907351163E-10
Time 12: 1.8623759569972866E-10
Time 13: 1.850706821772008E-10
Time 14: 1.8667909069779119E-10
Time 15: 1.8993686838608135E-10
Time 16: 1.8667432828384949E-10
Time 17: 1.9099530560045416E-10
Time 18: 1.8585604889206022E-10
Time 19: 1.8742905814903957E-10
Time 20: 1.865796354001633E-10
Time 21: 1.7992447390733734E-10
Time 22: 1.7767715075614086E-10
Time 23: 1.826251891320656E-10
Time 24: 1.6828834276551896E-10
Time 25: 1.7132222378166294E-10
Time 26: 1.72673326101212E-10
Time 27: 1.7041419548989134E-10
Time 28: 1.6483061203435168E-10
Time 29: 1.7100955234152177E-10
Time 30: 1.6727230194739222E-10
Time 31: 1.6970968267454065E-10
Time 32: 1.700285426530595E-10
Time 33: 1.8086646813908581E-10
Time 34: 1.7635489282777553E-10
Time 35: 1.7740833549201676E-10
Time 36: 1.6645061795696855E-10
Time 37: 1.663894435122684E-10
Time 38: 1.712523282505114E-10
Time 39: 1.688280712411281E-10
Time 40: 1.7136225074409183E-10
Time 41: 1.778684837126588E-10
Time 42: 1.798288226361221E-10
Time 43: 1.7910565647375978E-10
Time 44: 1.8409603106176773E-10
Time 45: 1.8558233162982646E-10
Time 46: 1.8394528099982805E-10
Time 47: 1.867036257291052E-10
Time 48: 1.8719375667298954E-10
Time 49: 1.9099320968207244E-10
Time 50: 1.8654046795130837E-10
Time 51: 1.8897992551273127E-10
Time 52: 1.792208793738767E-10
Time 53: 1.834012942048215E-10
Time 54: 1.8516729339064563E-10
Time 55: 1.74503376151096E-10
Time 56: 1.8055100211978538E-10
Time 57: 1.7565904566914884E-10
Time 58: 1.7378112240955517E-10
Time 59: 1.7220432495094764E-10
Time 60: 1.7040027693387647E-10
Time 61: 1.7562457116663286E-10
Time 62: 1.7328571395134774E-10
Time 63: 1.7666684571621002E-10
Time 64: 1.763083725733E-10
Time 65: 1.7702370873350062E-10
Time 66: 1.8136637940330943E-10
Time 67: 1.7750949689804992E-10
Time 68: 1.781496643804249E-10
Time 69: 1.7879939987127918E-10
Time 70: 1.8021337551227909E-10
Time 71: 1.770427405461377E-10
Time 72: 1.715372716356328E-10
Time 73: 1.7290502783402417E-10
Time 74: 1.7720410940000108E-10
Time 75: 1.6989232643731884E-10
Time 76: 1.724824546458297E-10
Time 77: 1.6815422905037875E-10
Time 78: 1.7567016619503816E-10
Time 79: 1.8086486028302036E-10
Time 80: 1.7977666599826414E-10
Time 81: 1.8235555241128787E-10
Time 82: 1.8170534911940185E-10
Time 83: 1.779517367631249E-10
Time 84: 1.774445082420538E-10
Time 85: 1.7611967174113807E-10
Time 86: 1.830745786680925E-10
Time 87: 1.82016030113975E-10
Time 88: 1.7426208661105337E-10
Time 89: 1.8059941196181041E-10
Time 90: 1.784230142581519E-10
Time 91: 1.7991546083996575E-10
Time 92: 1.8435351751234993E-10
Time 93: 1.8788251640544532E-10
Time 94: 1.9248377357402402E-10
Time 95: 1.9083079827335575E-10
Time 96: 1.8951325680038181E-10
Time 97: 1.9103572753645159E-10
Time 98: 1.85951005115754E-10
Time 99: 1.933140513257932E-10
Time 100: 1.8966340499340291E-10
Time 101: 1.915996679620081E-10
Time 102: 1.8971629184500116E-10
Time 103: 1.904505009024716E-10
Time 104: 1.8997808505231617E-10
Time 105: 1.8448213641145185E-10
Time 106: 1.938334857487455E-10
Time 107: 1.8810746810164418E-10
Time 108: 1.8305953963740523E-10
Time 109: 1.8428218187894045E-10
Time 110: 1.8299640564729434E-10
Time 111: 1.783499414963815E-10
Time 112: 1.8186920998966136E-10
Time 113: 1.7570640088203587E-10
Time 114: 1.6411153622917201E-10
Time 115: 1.643225352416434E-10
Time 116: 1.681459293966518E-10
Time 117: 1.6730467818491954E-10
Time 118: 1.705966195541645E-10
Time 119: 1.7430073252943146E-10
Time 120: 1.7678981808747097E-10
