-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Evening
Iteration: 2
Look-ahead time: 15.0 sec
Execution time: -7347 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 2
Time-interval 3: 4
Time-interval 4: 5
Time-interval 5: 4
Time-interval 6: 5
Time-interval 7: 2
Time-interval 8: 2
Time-interval 9: 6
Time-interval 10: 5
Time-interval 11: 2
Time-interval 12: 4
Time-interval 13: 4
Time-interval 14: 8
Time-interval 15: 4
Time-interval 16: 6
Time-interval 17: 5
Time-interval 18: 5
Time-interval 19: 1
Time-interval 20: 4
Time-interval 21: 6
Time-interval 22: 2
Time-interval 23: 3
Time-interval 24: 3
Time-interval 25: 3
Time-interval 26: 4
Time-interval 27: 5
Time-interval 28: 7
Time-interval 29: 4
Time-interval 30: 3
Time-interval 31: 1
Time-interval 32: 5
Time-interval 33: 5
Time-interval 34: 5
Time-interval 35: 4
Time-interval 36: 3
Time-interval 37: 3
Time-interval 38: 3
Time-interval 39: 7
Time-interval 40: 2
Time-interval 41: 9
Time-interval 42: 4
Time-interval 43: 5
Time-interval 44: 1
Time-interval 45: 2
Time-interval 46: 4
Time-interval 47: 1
Time-interval 48: 2
Time-interval 49: 6
Time-interval 50: 3
Time-interval 51: 4
Time-interval 52: 4
Time-interval 53: 5
Time-interval 54: 4
Time-interval 55: 2
Time-interval 56: 3
Time-interval 57: 4
Time-interval 58: 3
Time-interval 59: 4
Time-interval 60: 6
Time-interval 61: 2
Time-interval 62: 2
Time-interval 63: 1
Time-interval 64: 3
Time-interval 65: 6
Time-interval 66: 6
Time-interval 67: 3
Time-interval 68: 5
Time-interval 69: 2
Time-interval 70: 4
Time-interval 71: 1
Time-interval 72: 5
Time-interval 73: 4
Time-interval 74: 4
Time-interval 75: 3
Time-interval 76: 4
Time-interval 77: 8
Time-interval 78: 3
Time-interval 79: 4
Time-interval 80: 5
Time-interval 81: 3
Time-interval 82: 3
Time-interval 83: 3
Time-interval 84: 2
Time-interval 85: 3
Time-interval 86: 7
Time-interval 87: 6
Time-interval 88: 4
Time-interval 89: 5
Time-interval 90: 8
Time-interval 91: 3
Time-interval 92: 5
Time-interval 93: 5
Time-interval 94: 1
Time-interval 95: 8
Time-interval 96: 3
Time-interval 97: 8
Time-interval 98: 3
Time-interval 99: 5
Time-interval 100: 4
Time-interval 101: 4
Time-interval 102: 4
Time-interval 103: 3
Time-interval 104: 6
Time-interval 105: 5
Time-interval 106: 8
Time-interval 107: 4
Time-interval 108: 5
Time-interval 109: 1
Time-interval 110: 8
Time-interval 111: 6
Time-interval 112: 4
Time-interval 113: 7
Time-interval 114: 2
Time-interval 115: 4
Time-interval 116: 5
Time-interval 117: 3
Time-interval 118: 3
Time-interval 119: 6
Time-interval 120: 3
