-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Morning
Iteration: 2
Look-ahead time: 30.0 sec
Execution time: -6237 msec
-------------------------------------
Time-interval 1: 1
Time-interval 2: 0
Time-interval 3: 2
Time-interval 4: 0
Time-interval 5: 0
Time-interval 6: 0
Time-interval 7: 2
Time-interval 8: 0
Time-interval 9: 2
Time-interval 10: 1
Time-interval 11: 3
Time-interval 12: 0
Time-interval 13: 0
Time-interval 14: 1
Time-interval 15: 2
Time-interval 16: 2
Time-interval 17: 0
Time-interval 18: 0
Time-interval 19: 0
Time-interval 20: 1
Time-interval 21: 0
Time-interval 22: 1
Time-interval 23: 0
Time-interval 24: 1
Time-interval 25: 0
Time-interval 26: 0
Time-interval 27: 1
Time-interval 28: 0
Time-interval 29: 1
Time-interval 30: 0
Time-interval 31: 1
Time-interval 32: 1
Time-interval 33: 0
Time-interval 34: 5
Time-interval 35: 2
Time-interval 36: 1
Time-interval 37: 1
Time-interval 38: 1
Time-interval 39: 2
Time-interval 40: 0
Time-interval 41: 3
Time-interval 42: 0
Time-interval 43: 2
Time-interval 44: 0
Time-interval 45: 1
Time-interval 46: 0
Time-interval 47: 0
Time-interval 48: 1
Time-interval 49: 0
Time-interval 50: 1
Time-interval 51: 2
Time-interval 52: 0
Time-interval 53: 0
Time-interval 54: 0
Time-interval 55: 1
Time-interval 56: 0
Time-interval 57: 0
Time-interval 58: 0
Time-interval 59: 2
Time-interval 60: 1
Time-interval 61: 1
Time-interval 62: 0
Time-interval 63: 0
Time-interval 64: 0
Time-interval 65: 1
Time-interval 66: 1
Time-interval 67: 1
Time-interval 68: 0
Time-interval 69: 2
Time-interval 70: 1
Time-interval 71: 1
Time-interval 72: 1
Time-interval 73: 0
Time-interval 74: 0
Time-interval 75: 0
Time-interval 76: 1
Time-interval 77: 1
Time-interval 78: 0
Time-interval 79: 2
Time-interval 80: 2
Time-interval 81: 2
Time-interval 82: 0
Time-interval 83: 0
Time-interval 84: 1
Time-interval 85: 2
Time-interval 86: 0
Time-interval 87: 4
Time-interval 88: 1
Time-interval 89: 1
Time-interval 90: 2
Time-interval 91: 2
Time-interval 92: 1
Time-interval 93: 3
Time-interval 94: 2
Time-interval 95: 0
Time-interval 96: 0
Time-interval 97: 2
Time-interval 98: 0
Time-interval 99: 0
Time-interval 100: 0
Time-interval 101: 2
Time-interval 102: 3
Time-interval 103: 1
Time-interval 104: 1
Time-interval 105: 0
Time-interval 106: 2
Time-interval 107: 2
Time-interval 108: 0
Time-interval 109: 1
Time-interval 110: 1
Time-interval 111: 0
Time-interval 112: 1
Time-interval 113: 2
Time-interval 114: 1
Time-interval 115: 0
Time-interval 116: 3
Time-interval 117: 2
Time-interval 118: 1
Time-interval 119: 0
Time-interval 120: 2
13644
