-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Morning
Iteration: 1
Look-ahead time: 90.0 sec
Execution time: -5924 msec
-------------------------------------
Time-interval 1: 9
Time-interval 2: 4
Time-interval 3: 13
Time-interval 4: 6
Time-interval 5: 6
Time-interval 6: 4
Time-interval 7: 8
Time-interval 8: 4
Time-interval 9: 3
Time-interval 10: 3
Time-interval 11: 6
Time-interval 12: 6
Time-interval 13: 4
Time-interval 14: 7
Time-interval 15: 6
Time-interval 16: 7
Time-interval 17: 4
Time-interval 18: 5
Time-interval 19: 4
Time-interval 20: 6
Time-interval 21: 5
Time-interval 22: 5
Time-interval 23: 3
Time-interval 24: 2
Time-interval 25: 10
Time-interval 26: 7
Time-interval 27: 3
Time-interval 28: 8
Time-interval 29: 8
Time-interval 30: 7
Time-interval 31: 5
Time-interval 32: 9
Time-interval 33: 7
Time-interval 34: 9
Time-interval 35: 4
Time-interval 36: 10
Time-interval 37: 6
Time-interval 38: 11
Time-interval 39: 10
Time-interval 40: 5
Time-interval 41: 2
Time-interval 42: 9
Time-interval 43: 7
Time-interval 44: 6
Time-interval 45: 6
Time-interval 46: 6
Time-interval 47: 11
Time-interval 48: 8
Time-interval 49: 8
Time-interval 50: 7
Time-interval 51: 9
Time-interval 52: 10
Time-interval 53: 6
Time-interval 54: 13
Time-interval 55: 10
Time-interval 56: 4
Time-interval 57: 7
Time-interval 58: 5
Time-interval 59: 8
Time-interval 60: 7
Time-interval 61: 10
Time-interval 62: 7
Time-interval 63: 9
Time-interval 64: 1
Time-interval 65: 5
Time-interval 66: 9
Time-interval 67: 7
Time-interval 68: 11
Time-interval 69: 3
Time-interval 70: 6
Time-interval 71: 6
Time-interval 72: 10
Time-interval 73: 8
Time-interval 74: 4
Time-interval 75: 12
Time-interval 76: 13
Time-interval 77: 10
Time-interval 78: 6
Time-interval 79: 4
Time-interval 80: 7
Time-interval 81: 8
Time-interval 82: 10
Time-interval 83: 9
Time-interval 84: 13
Time-interval 85: 9
Time-interval 86: 10
Time-interval 87: 6
Time-interval 88: 5
Time-interval 89: 5
Time-interval 90: 7
Time-interval 91: 6
Time-interval 92: 4
Time-interval 93: 6
Time-interval 94: 4
Time-interval 95: 6
Time-interval 96: 10
Time-interval 97: 2
Time-interval 98: 5
Time-interval 99: 7
Time-interval 100: 9
Time-interval 101: 5
Time-interval 102: 7
Time-interval 103: 9
Time-interval 104: 8
Time-interval 105: 7
Time-interval 106: 7
Time-interval 107: 5
Time-interval 108: 7
Time-interval 109: 7
Time-interval 110: 7
Time-interval 111: 5
Time-interval 112: 3
Time-interval 113: 10
Time-interval 114: 6
Time-interval 115: 7
Time-interval 116: 11
Time-interval 117: 8
Time-interval 118: 8
Time-interval 119: 4
Time-interval 120: 7
13723
