-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Low
Daytime: Morning
Iteration: 1
Look-ahead time: 15.0 sec
Execution time: -8132 msec
-------------------------------------
Time-interval 1: 4
Time-interval 2: 2
Time-interval 3: 8
Time-interval 4: 2
Time-interval 5: 5
Time-interval 6: 3
Time-interval 7: 3
Time-interval 8: 2
Time-interval 9: 2
Time-interval 10: 3
Time-interval 11: 3
Time-interval 12: 3
Time-interval 13: 6
Time-interval 14: 4
Time-interval 15: 3
Time-interval 16: 4
Time-interval 17: 2
Time-interval 18: 2
Time-interval 19: 3
Time-interval 20: 3
Time-interval 21: 5
Time-interval 22: 2
Time-interval 23: 4
Time-interval 24: 5
Time-interval 25: 3
Time-interval 26: 1
Time-interval 27: 8
Time-interval 28: 3
Time-interval 29: 6
Time-interval 30: 4
Time-interval 31: 4
Time-interval 32: 3
Time-interval 33: 7
Time-interval 34: 2
Time-interval 35: 2
Time-interval 36: 4
Time-interval 37: 5
Time-interval 38: 4
Time-interval 39: 4
Time-interval 40: 0
Time-interval 41: 3
Time-interval 42: 3
Time-interval 43: 4
Time-interval 44: 6
Time-interval 45: 6
Time-interval 46: 6
Time-interval 47: 4
Time-interval 48: 4
Time-interval 49: 2
Time-interval 50: 4
Time-interval 51: 4
Time-interval 52: 4
Time-interval 53: 1
Time-interval 54: 1
Time-interval 55: 3
Time-interval 56: 3
Time-interval 57: 5
Time-interval 58: 4
Time-interval 59: 4
Time-interval 60: 2
Time-interval 61: 5
Time-interval 62: 2
Time-interval 63: 6
Time-interval 64: 3
Time-interval 65: 6
Time-interval 66: 4
Time-interval 67: 3
Time-interval 68: 3
Time-interval 69: 1
Time-interval 70: 3
Time-interval 71: 4
Time-interval 72: 6
Time-interval 73: 0
Time-interval 74: 3
Time-interval 75: 3
Time-interval 76: 3
Time-interval 77: 5
Time-interval 78: 3
Time-interval 79: 2
Time-interval 80: 0
Time-interval 81: 5
Time-interval 82: 5
Time-interval 83: 9
Time-interval 84: 1
Time-interval 85: 2
Time-interval 86: 3
Time-interval 87: 4
Time-interval 88: 7
Time-interval 89: 4
Time-interval 90: 1
Time-interval 91: 4
Time-interval 92: 3
Time-interval 93: 2
Time-interval 94: 4
Time-interval 95: 3
Time-interval 96: 1
Time-interval 97: 4
Time-interval 98: 1
Time-interval 99: 4
Time-interval 100: 6
Time-interval 101: 2
Time-interval 102: 0
Time-interval 103: 1
Time-interval 104: 4
Time-interval 105: 1
Time-interval 106: 2
Time-interval 107: 3
Time-interval 108: 4
Time-interval 109: 4
Time-interval 110: 3
Time-interval 111: 2
Time-interval 112: 4
Time-interval 113: 3
Time-interval 114: 2
Time-interval 115: 3
Time-interval 116: 5
Time-interval 117: 1
Time-interval 118: 4
Time-interval 119: 2
Time-interval 120: 0
