-------------------------------------
Air Traffic Density Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Evening
Iteration: 2
Execution time: 34 msec
-------------------------------------
Time 1: 3.4606642315451153E-10
Time 2: 3.4375569149942693E-10
Time 3: 3.521426493292046E-10
Time 4: 3.459588503860436E-10
Time 5: 3.393055770031666E-10
Time 6: 3.5168735125492505E-10
Time 7: 3.3124306896622923E-10
Time 8: 3.526965590516497E-10
Time 9: 3.5314057053426426E-10
Time 10: 3.5926884229780894E-10
Time 11: 3.5148104536972043E-10
Time 12: 3.4872961951222546E-10
Time 13: 3.4315744141344586E-10
Time 14: 3.396983483042457E-10
Time 15: 3.4405021890298094E-10
Time 16: 3.4147295235859046E-10
Time 17: 3.418513623156613E-10
Time 18: 3.4769210770809915E-10
Time 19: 3.348570032482062E-10
Time 20: 3.4433545852738E-10
Time 21: 3.4912732048357037E-10
Time 22: 3.5737200817406816E-10
Time 23: 3.51684738267102E-10
Time 24: 3.678096076487027E-10
Time 25: 3.625055100799793E-10
Time 26: 3.6247520607623334E-10
Time 27: 3.7397179821535096E-10
Time 28: 3.7655132758768795E-10
Time 29: 3.6119823866461634E-10
Time 30: 3.671264119040464E-10
Time 31: 3.6137630079979934E-10
Time 32: 3.5565850513998936E-10
Time 33: 3.7053220072075053E-10
Time 34: 3.688561164614474E-10
Time 35: 3.705532799541615E-10
Time 36: 3.4884261514756687E-10
Time 37: 3.593823957310981E-10
Time 38: 3.665101786049806E-10
Time 39: 3.584048223002129E-10
Time 40: 3.601574778650626E-10
Time 41: 3.4578964550723767E-10
Time 42: 3.6512546963477266E-10
Time 43: 3.618159614310569E-10
Time 44: 3.6785386549957245E-10
Time 45: 3.6351306626053125E-10
Time 46: 3.657097442994534E-10
Time 47: 3.5311659109387034E-10
Time 48: 3.7359803778881205E-10
Time 49: 3.6338441233873297E-10
Time 50: 3.720943038813988E-10
Time 51: 3.6918159417864955E-10
Time 52: 3.7153276269242233E-10
Time 53: 3.654122834515773E-10
Time 54: 3.6388075209476384E-10
Time 55: 3.6556697331066954E-10
Time 56: 3.6173708093481506E-10
Time 57: 3.546319613086378E-10
Time 58: 3.589949463294742E-10
Time 59: 3.7407792188100344E-10
Time 60: 3.788139821898496E-10
Time 61: 3.5859528823454003E-10
Time 62: 3.646662157431346E-10
Time 63: 3.7215024981941466E-10
Time 64: 3.513877720599573E-10
Time 65: 3.594700333692311E-10
Time 66: 3.628154166380597E-10
Time 67: 3.6723187843171853E-10
Time 68: 3.7324780512653095E-10
Time 69: 3.7017707468678584E-10
Time 70: 3.806132754722944E-10
Time 71: 3.848409351471791E-10
Time 72: 3.672784161514356E-10
Time 73: 3.6226464893924006E-10
Time 74: 3.736210017471319E-10
Time 75: 3.7718502954560183E-10
Time 76: 3.7577648186753307E-10
Time 77: 3.8503636424586774E-10
Time 78: 3.885778208667914E-10
Time 79: 3.874137228414914E-10
Time 80: 3.825893543024498E-10
Time 81: 3.8376934238655763E-10
Time 82: 3.820833167250497E-10
Time 83: 3.6963983641102213E-10
Time 84: 3.6726624409711017E-10
Time 85: 3.6267890763075386E-10
Time 86: 3.563733377426619E-10
Time 87: 3.752814756300163E-10
Time 88: 3.748758437787161E-10
Time 89: 3.6614764539513723E-10
Time 90: 3.738728618081773E-10
Time 91: 3.823818968963188E-10
Time 92: 3.7217246586117793E-10
Time 93: 3.669232921445844E-10
Time 94: 3.722673301664577E-10
Time 95: 3.6403466493031353E-10
Time 96: 3.824738881924105E-10
Time 97: 3.7501387660600127E-10
Time 98: 3.8190143968540517E-10
Time 99: 3.784949349451752E-10
Time 100: 3.875681593333637E-10
Time 101: 3.787134786360043E-10
Time 102: 3.8647632786422957E-10
Time 103: 3.9137320371267357E-10
Time 104: 3.891089524913935E-10
Time 105: 3.788023667279818E-10
Time 106: 3.896058775575915E-10
Time 107: 3.9447669701304026E-10
Time 108: 3.5989138862787164E-10
Time 109: 3.839804598838424E-10
Time 110: 3.8311065990618224E-10
Time 111: 3.863255963548329E-10
Time 112: 3.7939799455530715E-10
Time 113: 3.8381807158776896E-10
Time 114: 3.7938048922681913E-10
Time 115: 3.7836612694460403E-10
Time 116: 3.8778704314683375E-10
Time 117: 3.926980353165162E-10
Time 118: 3.8765491127581283E-10
Time 119: 3.807407179627942E-10
Time 120: 3.7562257886527364E-10
