-------------------------------------
Conflict Analysis.
Flight concept: Layers
Air traffic density: High
Daytime: Evening
Iteration: 2
Look-ahead time: 90.0 sec
Execution time: -26426 msec
-------------------------------------
Time-interval 1: 29
Time-interval 2: 18
Time-interval 3: 20
Time-interval 4: 24
Time-interval 5: 27
Time-interval 6: 25
Time-interval 7: 26
Time-interval 8: 26
Time-interval 9: 22
Time-interval 10: 15
Time-interval 11: 19
Time-interval 12: 23
Time-interval 13: 13
Time-interval 14: 10
Time-interval 15: 20
Time-interval 16: 18
Time-interval 17: 24
Time-interval 18: 23
Time-interval 19: 12
Time-interval 20: 19
Time-interval 21: 13
Time-interval 22: 22
Time-interval 23: 28
Time-interval 24: 28
Time-interval 25: 21
Time-interval 26: 23
Time-interval 27: 29
Time-interval 28: 27
Time-interval 29: 16
Time-interval 30: 15
Time-interval 31: 25
Time-interval 32: 23
Time-interval 33: 25
Time-interval 34: 20
Time-interval 35: 25
Time-interval 36: 22
Time-interval 37: 19
Time-interval 38: 26
Time-interval 39: 16
Time-interval 40: 31
Time-interval 41: 25
Time-interval 42: 23
Time-interval 43: 24
Time-interval 44: 19
Time-interval 45: 24
Time-interval 46: 28
Time-interval 47: 29
Time-interval 48: 30
Time-interval 49: 26
Time-interval 50: 22
Time-interval 51: 27
Time-interval 52: 25
Time-interval 53: 18
Time-interval 54: 26
Time-interval 55: 22
Time-interval 56: 28
Time-interval 57: 21
Time-interval 58: 20
Time-interval 59: 30
Time-interval 60: 22
Time-interval 61: 28
Time-interval 62: 18
Time-interval 63: 18
Time-interval 64: 24
Time-interval 65: 22
Time-interval 66: 31
Time-interval 67: 25
Time-interval 68: 35
Time-interval 69: 29
Time-interval 70: 27
Time-interval 71: 34
Time-interval 72: 19
Time-interval 73: 38
Time-interval 74: 23
Time-interval 75: 33
Time-interval 76: 25
Time-interval 77: 30
Time-interval 78: 20
Time-interval 79: 30
Time-interval 80: 30
Time-interval 81: 36
Time-interval 82: 35
Time-interval 83: 29
Time-interval 84: 18
Time-interval 85: 22
Time-interval 86: 23
Time-interval 87: 35
Time-interval 88: 43
Time-interval 89: 28
Time-interval 90: 35
Time-interval 91: 33
Time-interval 92: 37
Time-interval 93: 29
Time-interval 94: 32
Time-interval 95: 35
Time-interval 96: 40
Time-interval 97: 38
Time-interval 98: 29
Time-interval 99: 40
Time-interval 100: 32
Time-interval 101: 29
Time-interval 102: 37
Time-interval 103: 34
Time-interval 104: 25
Time-interval 105: 32
Time-interval 106: 37
Time-interval 107: 31
Time-interval 108: 39
Time-interval 109: 35
Time-interval 110: 36
Time-interval 111: 34
Time-interval 112: 29
Time-interval 113: 28
Time-interval 114: 43
Time-interval 115: 23
Time-interval 116: 27
Time-interval 117: 41
Time-interval 118: 40
Time-interval 119: 42
Time-interval 120: 47
