-------------------------------------
Conflict Analysis.
Flight concept: FullMix
Air traffic density: Medium
Daytime: Evening
Iteration: 1
Look-ahead time: 300.0 sec
Execution time: -15208 msec
-------------------------------------
Time-interval 1: 6
Time-interval 2: 4
Time-interval 3: 4
Time-interval 4: 5
Time-interval 5: 5
Time-interval 6: 3
Time-interval 7: 6
Time-interval 8: 4
Time-interval 9: 7
Time-interval 10: 5
Time-interval 11: 4
Time-interval 12: 7
Time-interval 13: 1
Time-interval 14: 6
Time-interval 15: 7
Time-interval 16: 5
Time-interval 17: 2
Time-interval 18: 7
Time-interval 19: 4
Time-interval 20: 6
Time-interval 21: 4
Time-interval 22: 5
Time-interval 23: 1
Time-interval 24: 6
Time-interval 25: 4
Time-interval 26: 2
Time-interval 27: 9
Time-interval 28: 2
Time-interval 29: 4
Time-interval 30: 4
Time-interval 31: 3
Time-interval 32: 6
Time-interval 33: 6
Time-interval 34: 3
Time-interval 35: 5
Time-interval 36: 6
Time-interval 37: 5
Time-interval 38: 8
Time-interval 39: 1
Time-interval 40: 5
Time-interval 41: 6
Time-interval 42: 4
Time-interval 43: 3
Time-interval 44: 6
Time-interval 45: 5
Time-interval 46: 5
Time-interval 47: 7
Time-interval 48: 5
Time-interval 49: 4
Time-interval 50: 8
Time-interval 51: 4
Time-interval 52: 5
Time-interval 53: 4
Time-interval 54: 12
Time-interval 55: 6
Time-interval 56: 4
Time-interval 57: 1
Time-interval 58: 6
Time-interval 59: 2
Time-interval 60: 4
Time-interval 61: 6
Time-interval 62: 6
Time-interval 63: 6
Time-interval 64: 5
Time-interval 65: 9
Time-interval 66: 6
Time-interval 67: 5
Time-interval 68: 6
Time-interval 69: 9
Time-interval 70: 7
Time-interval 71: 10
Time-interval 72: 5
Time-interval 73: 4
Time-interval 74: 5
Time-interval 75: 5
Time-interval 76: 7
Time-interval 77: 9
Time-interval 78: 4
Time-interval 79: 7
Time-interval 80: 7
Time-interval 81: 9
Time-interval 82: 11
Time-interval 83: 3
Time-interval 84: 9
Time-interval 85: 5
Time-interval 86: 5
Time-interval 87: 4
Time-interval 88: 6
Time-interval 89: 7
Time-interval 90: 6
Time-interval 91: 8
Time-interval 92: 11
Time-interval 93: 10
Time-interval 94: 10
Time-interval 95: 11
Time-interval 96: 8
Time-interval 97: 9
Time-interval 98: 15
Time-interval 99: 10
Time-interval 100: 9
Time-interval 101: 0
Time-interval 102: 7
Time-interval 103: 15
Time-interval 104: 16
Time-interval 105: 8
Time-interval 106: 11
Time-interval 107: 9
Time-interval 108: 9
Time-interval 109: 14
Time-interval 110: 7
Time-interval 111: 9
Time-interval 112: 11
Time-interval 113: 6
Time-interval 114: 6
Time-interval 115: 11
Time-interval 116: 8
Time-interval 117: 7
Time-interval 118: 15
Time-interval 119: 12
Time-interval 120: 6
